,music,singer,music_id,release_date,category,music_like,comment_count,within 7days,ost,rank_count
3720,뒤돌아보지 말아요,젝스키스,33264638,2021-02-05,발라드,14762,313,1,0,4
3721,술 한잔 해요,"경서,mj",33247490,2021-01-31,발라드,32731,122,1,0,14
3722,추억은 만남보다 이별에 남아,정동하,33248758,2021-01-31,발라드,102068,394,1,0,62
3723,고백,허각,33260801,2021-02-04,발라드,47918,80,1,0,21
3724,나의 유일한 너에게,시우민,33248080,2021-01-31,발라드,21751,360,1,1,1
3725,마음이 그래,"개코,권진아",33257245,2021-02-04,R&B/Soul,34297,105,1,0,3
3726,sugar,김우석,33267768,2021-02-08,댄스,8778,162,1,0,1
3727,다시 만날까 봐,이예준,33265859,2021-02-07,발라드,32755,60,1,0,7
3728,서른 밤째,윤하,33269643,2021-02-08,발라드,64058,125,1,0,12
3729,흑백사진,kcm,537208,2004-09-07,발라드,28335,79,0,0,1
3730,이불,영탁,33275028,2021-02-10,성인가요/트로트,19702,2892,1,0,1
3731,걷고 싶다,임영웅,33234463,2021-01-26,성인가요/트로트,35622,138,0,0,1
3732,paranoia,강다니엘,33286685,2021-02-16,댄스,16973,521,1,0,5
3733,bicycle,청하,33280399,2021-02-15,댄스,26067,314,1,0,3
3734,don t call me,샤이니,33305996,2021-02-22,댄스,78596,2251,1,0,11
3735,beautiful beautiful,온앤오프,33313442,2021-02-24,댄스,40285,1386,1,0,3
3736,꼬리,선미,33309138,2021-02-23,댄스,33664,328,1,0,9
3737,사랑한단 거짓말은 안 할래,"먼데이키즈,최현준",33303943,2021-02-21,발라드,12963,37,1,0,1
3738,오늘도 난 봄을 기다려,케이시,33293734,2021-02-18,발라드,30447,61,1,0,2
3739,함께 했는데 이별은 나 혼자인 거야,소정,33313675,2021-02-25,발라드,38067,142,1,0,19
3740,롤린,브레이브걸스,30287019,2017-03-07,댄스,298410,7493,0,0,79
3741,좋은 이별이 있을 리가 없잖아,mc몽,33323381,2021-03-02,랩/힙합,16488,157,1,0,4
3742,love day,"양요섭,정은지",33331004,2021-03-05,댄스,120031,807,1,0,35
3743,friends,"릴보이,원슈타인",33320360,2021-02-27,랩/힙합,49062,268,1,0,1
3744,멜로디,ashisland,33315511,2021-02-25,랩/힙합,146118,643,1,0,52
3745,눈이 멀었다,mc몽,33323380,2021-03-02,랩/힙합,7588,96,1,0,2
3746,물망초,mc몽,33323379,2021-03-02,랩/힙합,8029,106,1,0,1
3747,별빛 같은 나의 사랑아,임영웅,33337651,2021-03-09,성인가요/트로트,76819,3254,1,0,41
3748,on the ground,로제,33346446,2021-03-12,록/메탈,162096,1636,1,0,28
3749,gone,로제,33346447,2021-03-12,포크/블루스,115307,602,1,0,10
3750,비로소 너에게 도착했다,마크툽,33334097,2021-03-07,"R&B/Soul, 인디음악",28918,233,1,0,4
3751,되풀이,임창정,33338016,2021-03-09,발라드,36523,178,1,1,11
3752,flying high with u,빈첸,33334136,2021-03-07,랩/힙합,48758,249,1,0,2
3753,at my worst,pinksweat$,32793011,2020-07-17,R&B/Soul,118515,187,0,0,6
3754,그 한마디,이하이,33347594,2021-03-14,발라드,40348,105,1,0,8
3755,feel like,woodz,33348793,2021-03-15,R&B/Soul,8186,153,1,0,1
3756,이렇게 좋아해 본 적이 없어요,cheeze,33347390,2021-03-14,"발라드, 인디음악",76295,121,1,0,20
3757,운전만해,브레이브걸스,32860397,2020-08-14,댄스,136191,2756,0,0,36
3758,do or not,펜타곤,33348950,2021-03-15,댄스,13690,382,1,0,1
3759,어떤x,제시,33353705,2021-03-17,랩/힙합,32655,243,1,0,7
3760,겨울이 지나고 봄이 오듯이,김나영,33346996,2021-03-14,발라드,15291,32,1,0,1
3761,라일락,아이유,33372781,2021-03-25,댄스,253364,2235,1,0,81
3762,coin,아이유,33372783,2021-03-25,R&B/Soul,119239,1162,1,0,26
3763,flu,아이유,33372782,2021-03-25,댄스,69933,389,1,0,11
3764,봄 안녕 봄,아이유,33372784,2021-03-25,발라드,81901,852,1,0,14
3765,돌림노래,아이유,33372785,2021-03-25,R&B/Soul,71432,626,1,0,9
3766,아이와 나의 바다,아이유,33372787,2021-03-25,발라드,180034,2157,1,0,16
3767,어푸,아이유,33372788,2021-03-25,댄스,132642,1011,1,0,35
3768,빈 컵,아이유,33372786,2021-03-25,R&B/Soul,52441,409,1,0,6
3769,에필로그,아이유,33372789,2021-03-25,발라드,87018,1341,1,0,8
3770,peaches,justinbieber,33359317,2021-10-08,POP,221081,1006,0,0,47
3771,bambi,백현,33379610,2021-03-30,R&B/Soul,96631,1588,1,0,3
3772,안아줘,오반,33374274,2021-03-28,"랩/힙합, 인디음악",19378,79,1,0,1
3773,love scene,백현,33379609,2021-03-30,R&B/Soul,57490,402,1,0,1
3774,warning,김세정,33375793,2021-03-29,록/메탈,32073,266,1,0,1
3775,너의 흔적,엠씨더맥스,33371455,2021-03-25,발라드,17908,207,1,0,1
3776,one,아스트로,33390653,2021-04-05,댄스,20140,461,1,0,1
3777,5k,이진혁,33390261,2021-04-05,댄스,3316,56,1,0,1
3778,when this rain stops,웬디,33391155,2021-04-05,발라드,46443,567,1,0,1
3779,안녕이란,황치열,33388275,2021-04-02,발라드,25355,133,1,0,5
3780,찾지 않을게,김재환,33397071,2021-04-07,댄스,13112,235,1,0,1
3781,모를까봐서,경서예지,33388247,2021-04-04,발라드,16322,43,1,0,1
3782,antidote,강다니엘,33410343,2021-04-13,R&B/Soul,14468,261,1,0,2
3783,그냥 안아달란 말야,다비치,33405149,2021-04-12,발라드,48720,183,1,0,18
3784,atlantis,샤이니,33406045,2021-04-12,댄스,40801,1123,1,0,2
3785,water color,휘인,33408562,2021-04-13,댄스,28687,449,1,0,1
3786,커피,규현,33410939,2021-04-13,발라드,9619,123,1,0,1
3787,사이렌 remix,호미들,33359725,2021-03-20,랩/힙합,162335,664,0,0,68
3788,timeless,sg워너비,1944399,2004-01-20,발라드,117208,595,0,0,32
3789,라라라,sg워너비,1854856,2008-04-24,발라드,91019,285,0,0,24
3790,inside out,뉴이스트,33422461,2021-04-19,댄스,22600,589,1,0,1
3791,내사람,sg워너비,1500196,2006-11-15,R&B/Soul,73136,275,0,0,19
3792,살다가,sg워너비,711626,2005-03-23,발라드,73665,171,0,0,16
3793,죄와 벌,sg워너비,711627,2005-03-23,발라드,50355,170,0,0,6
3794,아리랑,sg워너비,1615770,2007-04-06,R&B/Soul,32442,162,0,0,5
3795,you make me,day6,33422388,2021-04-19,록/메탈,43969,753,1,0,1
3796,asap,stayc,33397561,2021-04-08,댄스,150641,3195,0,0,43
3797,내사람 partner for life,sg워너비,1139741,2006-04-08,R&B/Soul,24719,68,0,0,2
3798,기다릴게,"하동균,봉구",33430095,2021-04-22,발라드,32067,82,1,0,9
3799,너의 발걸음에 빛을 비춰줄게,케이시,33439096,2021-04-27,발라드,45683,121,1,0,13
3800,춤춰,온앤오프,33442407,2021-04-28,댄스,12696,389,1,0,2
3801,감아,ab6ix,33437473,2021-04-26,댄스,12446,298,1,0,1
3802,마 피 아  in the morning,itzy,33447280,2021-04-30,랩/힙합,69123,2775,1,0,17
3803,불어온다,하이라이트,33450426,2021-05-03,댄스,43961,983,1,0,3
3804,off my face,justinbieber,33359309,2021-10-08,POP,166025,282,0,0,104
3805,leave the door open,"brunomars,andersonpaak,silksonic",33333951,2021-07-30,R&B/Soul,96558,441,0,0,1
3806,고래,nctdream,33456220,2021-05-10,댄스,121922,1442,1,0,3
3807,dun dun dance,오마이걸,33464805,2021-05-10,댄스,164762,3029,1,0,63
3808,상상더하기,라붐,8130796,2016-04-06,댄스,133851,2646,0,0,25
3809,닫힌엔딩,숀,33462463,2021-05-09,"인디음악, 일렉트로니카",37908,181,1,0,2
3810,outerspace,강다니엘,33478129,2021-05-13,댄스,10048,245,1,0,1
3811,응급실,황인욱,33458666,2021-05-07,발라드,25349,72,1,0,1
3812,우리의 계절,nctdream,33456222,2021-05-10,R&B/Soul,88390,740,1,0,1
3813,서울의 잠 못 이루는 밤,10cm,33476728,2021-05-13,"발라드, 인디음악",64567,208,1,0,7
3814,주인공,nctdream,33456226,2021-05-10,댄스,87942,897,1,0,1
3815,butter,방탄소년단,33507137,2021-05-21,댄스,286804,7894,1,0,101
3816,next level,aespa,33487342,2021-05-17,댄스,257612,5923,1,0,86
3817,advice,태민,33489032,2021-05-18,R&B/Soul,33563,1091,1,0,1
3818,헤픈 우연,헤이즈,33503722,2021-05-20,R&B/Soul,191613,857,1,0,62
3819,마음이 다쳐서,송하예,33483326,2021-05-16,발라드,13242,92,1,0,1
3820,까만안경,"이루,견우",33481955,2021-05-16,발라드,9978,31,1,0,1
3821,체념,정상동기,33510308,2021-05-22,발라드,25227,203,1,0,11
3822,만약에,mom,33510309,2021-05-22,발라드,20728,334,1,0,6
3823,i love u,성시경,33507461,2021-05-21,발라드,21779,194,1,0,3
3824,처음처럼,헤이즈,33503723,2021-05-20,R&B/Soul,24681,154,1,0,4
3825,kingdom come,더보이즈,33523849,2021-05-28,댄스,31233,3119,1,0,2
3826,다시 사랑한다면,임영웅,33514925,2021-05-25,성인가요/트로트,51644,248,1,0,30
3827,"친구, 그 오랜시간",정승환,33516931,2021-05-26,발라드,18785,145,1,0,1
3828,안녕,조이,33527705,2021-05-31,록/메탈,131353,1295,1,0,24
3829,0x1 lovesong,투모로우바이투게더,33527479,2021-05-31,록/메탈,95382,2987,1,0,1
3830,je t aime,조이,33517367,2021-05-31,발라드,48182,600,1,0,2
3831,좋을텐데,조이,33527706,2021-05-31,발라드,30718,154,1,0,2
3832,벌써일년,"반하나,mj",33524557,2021-05-30,발라드,15131,61,1,0,3
3833,u,백현,33521625,2021-05-31,발라드,32811,299,1,1,1
3834,where are we now,마마무,33531542,2021-06-02,발라드,19450,302,1,0,1
3835,don t fight the feeling,exo,33549026,2021-06-07,댄스,63674,1735,1,0,2
3836,스니커즈,하성운,33546811,2021-06-07,댄스,11609,283,1,0,1
3837,alcohol free,twice,33559180,2021-06-09,댄스,90132,2462,1,0,22
3838,내 입술 따뜻한 커피처럼,"청하,colde",33552335,2021-06-08,발라드,23532,88,1,0,2
3839,치맛바람,브레이브걸스,33589260,2021-06-17,댄스,96606,2127,1,0,21
3840,추적이는 여름 비가 되어,장범준,33571535,2021-06-11,발라드,38243,199,1,0,10
3841,ready to love,세븐틴,33594897,2021-06-18,댄스,95292,2440,1,0,3
3842,오늘따라 더 미운 그대가,전상근,33572275,2021-06-13,발라드,27764,49,1,0,6
3843,비와 당신,이무진,33589488,2021-06-18,록/메탈,112484,546,1,1,34
3844,신호등,이무진,33480898,2021-05-14,록/메탈,295619,3115,0,0,86
3845,all of my love,다비치,33572222,2021-06-14,발라드,7860,38,1,1,1
3846,바라만 본다,msg워너비,33625988,2021-06-26,발라드,184078,1943,1,0,73
3847,나를 아는 사람,msg워너비,33625989,2021-06-26,발라드,71269,767,1,0,18
3848,다정히 내 이름을 부르면,"경서예지,전건호",33496587,2021-05-19,발라드,169584,332,0,0,98
3849,허리춤,오반,33601086,2021-06-21,"랩/힙합, 인디음악",48598,152,1,0,13
3850,들려주고 싶었던,이승윤,33607214,2021-06-22,록/메탈,34497,2128,1,0,1
3851,하루만 더,빅마마,33618271,2021-06-24,발라드,60692,359,1,0,26
3852,hello future,nctdream,33628129,2021-06-28,랩/힙합,136791,1234,1,0,3
3853,가을 우체국 앞에서,김대명,33618864,2021-06-25,발라드,62759,248,1,1,25
3854,비 오는 날 듣기 좋은 노래,에픽하이,33632153,2021-06-29,랩/힙합,98700,366,1,0,18
3855,해야 해,2pm,33628324,2021-06-28,댄스,32291,836,1,0,4
3856,다시 만나,한승우,33628333,2021-06-28,발라드,6150,73,1,0,1
3857,bad habits,edsheeran,33623210,2021-10-29,POP,130314,301,0,0,59
3858,permission to dance,방탄소년단,33666269,2021-07-09,댄스,222607,4366,1,0,73
3859,weekend,태연,33655994,2021-07-06,댄스,191305,2012,1,0,73
3860,러브,"로꼬,이성경",33645879,2021-07-04,랩/힙합,38423,122,1,0,5
3861,나는 너 좋아,장범준,33638428,2021-07-02,록/메탈,22623,92,1,1,10
3862,way back home,런치,33643253,2021-07-04,일렉트로니카,24844,113,1,0,5
3863,한여름밤의 꿀   다시 여름,"산이,레이나",33646995,2021-07-05,랩/힙합,19460,128,1,0,3
3864,다시 사랑할 수 있을까,"백지영,이홍기",33655615,2021-07-07,발라드,24289,68,1,0,5
3865,밤이 되니까,원슈타인,33658484,2021-07-07,R&B/Soul,34101,185,1,0,2
3866,뚫고 지나가요,day6,33649710,2021-07-05,록/메탈,49866,838,1,0,1
3867,ohayo my night,"디핵,pateko",32698101,2020-06-20,랩/힙합,207895,955,0,0,71
3868,난 너를 사랑해,msg워너비,33668958,2021-07-10,발라드,22207,190,1,0,6
3869,좋아좋아,조정석,33691794,2021-07-16,발라드,89510,227,1,1,31
3870,잡아줄게,"ashisland,그루비룸",33666177,2021-07-09,랩/힙합,42261,226,1,0,2
3871,넌 좋은 사람,sg워너비,33692354,2021-07-16,발라드,34979,411,1,0,9
3872,고백,장범준,33699116,2021-07-19,록/메탈,48419,130,1,0,11
3873,stay,"thekidlaroi,justinbieber",33658563,2021-07-09,POP,259942,892,0,0,94
3874,과제곡,이무진,33695837,2021-07-17,록/메탈,51723,697,1,0,1
3875,낙하,akmu,33725775,2021-07-26,록/메탈,181335,1316,1,0,46
3876,전쟁터,akmu,33725774,2021-07-26,록/메탈,38915,442,1,0,5
3877,째깍 째깍 째깍,akmu,33725777,2021-07-26,댄스,25195,204,1,0,3
3878,rose,디오,33727889,2021-07-26,포크/블루스,66667,910,1,0,1
3879,슈퍼스타,미도와파라솔,33716984,2021-07-23,록/메탈,46342,195,1,1,10
3880,bench,akmu,33725776,2021-07-26,록/메탈,20989,237,1,0,2
3881,stupid love song,akmu,33725779,2021-07-26,R&B/Soul,25127,216,1,0,2
3882,맞짱,akmu,33725778,2021-07-26,록/메탈,19861,316,1,0,1
3883,everest,akmu,33725780,2021-07-26,록/메탈,18202,230,1,0,1
3884,i m gonna love you,디오,33727890,2021-07-26,R&B/Soul,63583,598,1,0,1
3885,after midnight,아스트로,33749343,2021-08-02,댄스,18600,286,1,0,1
3886,비가 오는 날엔,헤이즈,33759183,2021-08-04,발라드,81375,261,1,1,33
3887,이젠 잊기로 해요,미도와파라솔,33742378,2021-07-30,록/메탈,37116,119,1,1,12
3888,dumb dumb,전소미,33749109,2021-08-02,댄스,98181,795,1,0,29
3889,벌써 일년,미도와파라솔,33742379,2021-07-30,발라드,21644,75,1,1,7
3890,보고 싶단 말이야,"펀치,매드클라운",33753484,2021-08-03,R&B/Soul,11645,45,1,0,1
3891,thrill ride,더보이즈,33780872,2021-08-09,댄스,58979,1883,1,0,2
3892,여름 쏙,온앤오프,33780723,2021-08-09,댄스,20277,708,1,0,1
3893,you can t sit with us,선미,33770168,2021-08-06,댄스,22962,274,1,0,3
3894,너에게,유연석,33766371,2021-08-06,발라드,21913,108,1,1,3
3895,제자리 걸음,vos,33793429,2021-08-11,발라드,13894,78,1,0,4
3896,둘 중에 골라,"효린,다솜",33784408,2021-08-10,댄스,10824,123,1,0,1
3897,strawberry gum,하성운,33780085,2021-08-09,댄스,8680,183,1,0,1
3898,여전히 아름다운지,세븐틴,33800786,2021-08-13,발라드,69283,876,1,1,15
3899,queendom,레드벨벳,33805289,2021-08-16,댄스,120834,2265,1,0,28
3900,사진을 보다가,다비치,33812065,2021-08-18,발라드,13340,43,1,0,4
3901,lo$er lo♡er,투모로우바이투게더,33810383,2021-08-17,록/메탈,87000,1587,1,0,1
3902,회상,정경호,33825315,2021-08-20,발라드,24837,112,1,1,6
