,music,singer,music_id,release_date,category,music_like,comment_count
1637,말하고 싶어도,엠씨더맥스,8033535,2016.01.28,발라드,6584,27
1638,그런 날엔,여자친구,8028704,2016.01.25,댄스,15324,73
1639,그거 알아?,김재중,8030584,2016.01.26,록/메탈,6743,14
1640,EVERYTHING,검정치마,8036156,2016.01.29,"인디음악, 록/메탈",134946,670
1641,사랑만들기,케이윌,8032290,2016.01.27,발라드,5204,16
1642,서른 즈음에,로이킴,8028710,2016.01.23,발라드,5841,10
1643,Rain,태연,8042553,2016.02.03,발라드,184246,646
1644,BABY BABY,위너,8038492,2016.02.01,댄스,82946,160
1645,약도 없대요,백지영,8033908,2016.02.02,발라드,7603,6
1646,싫어,포미닛,8038718,2016.02.01,댄스,18863,57
1647,비밀,태연,8042554,2016.02.03,발라드,37019,133
1648,철없어,위너,8038493,2016.02.01,록/메탈,19945,35
1649,좋더라,위너,8042169,2016.02.03,발라드,39904,53
1650,뭐 어때,유승우,8040495,2016.02.02,"발라드, 인디음악",12434,13
1651,이별이 오지 못하게,김태우,8042168,2016.02.03,발라드,4348,7
1652,One Call Away,CharliePuth,8044371,2016.02.04,발라드,8578,11
1653,벌써 겨울,"허각,브로맨스",8044421,2016.02.04,발라드,9697,35
1654,사랑한 그때처럼,투빅,8042129,2016.02.03,발라드,2928,4
1655,기다려줘,김필,8038487,2016.01.30,발라드,8394,28
1656,눈물,지아,3041356,2010.12.23,발라드,4593,3
1657,생각해,레디,8034252,2016.02.02,발라드,2035,2
1658,1cm의 자존심,마마무,8049264,2016.02.12,랩/힙합,41656,35
1659,질투 나요 BABY,AOACREAM,8049050,2016.02.12,댄스,13412,47
1660,사랑한다 할 수 있기에,바비킴,8047191,2016.02.06,"발라드, 국내드라마",6923,8
1661,끝사랑,"김범수,김다미",8047198,2016.02.09,발라드,4789,5
1662,PICK ME,PRODUCE101,30294022,2017.03.09,댄스,101436,940
1663,거짓말,이수정,8047195,2016.02.07,발라드,3442,3
1664,I Love You,정준영,8046727,2016.02.10,록/메탈,5078,11
1665,Love You More,김재중,8049053,2016.02.12,록/메탈,11695,5
1666,유리구슬,여자친구,5546489,2015.01.15,댄스,77729,458
1667,떠나야 할 그 사람,잉키,8046966,2016.02.06,"발라드, 국내드라마",7429,6
1668,Love Yourself,JustinBieber,1914208,2008.08.11,랩/힙합,42663,60
1669,Tell Me,"유영진,DO",8059290,2016.02.19,R&B/Soul,51827,207
1670,횡단보도,조권,8050534,2016.02.15,발라드,10458,21
1671,걱정말아요 그대,우리동네음악대장,8050532,2016.02.14,발라드,21331,17
1672,만화처럼,"매드클라운,브라더수",8057799,2016.02.18,랩/힙합,20190,32
1673,뭔가 될 것 같은 날,"슬옹,윤현상",8050533,2016.02.15,R&B/Soul,7949,7
1674,ALWAYS,윤미래,8053157,2016.02.18,"발라드, 국내드라마",125627,85
1675,Whoo,레인보우,8050802,2016.02.15,댄스,11474,34
1676,조금만 더,스웨덴세탁소,8052796,2016.02.16,"록/메탈, 국내드라마",10284,12
1677,내 맘은 어디에 두죠,규현,8049775,2016.02.13,"발라드, 국내드라마",11472,11
1678,여러분,유제이,8050529,2016.02.14,발라드,2082,0
1679,뭘 알어,ILLIONAIRERECORDS,8059354,2016.02.19,랩/힙합,15908,34
1680,Everytime,"첸,펀치",8067023,2016.02.25,"발라드, 국내드라마",139182,129
1681,넌 is 뭔들,마마무,8068881,2016.02.26,댄스,105038,102
1682,Press Your Number,태민,8061244,2016.02.23,댄스,33725,141
1683,Because of You,윤미래,8068877,2016.02.26,발라드,11504,7
1684,꽃같아,유재환,8062901,2016.02.23,발라드,9598,10
1685,다시 사랑한다면,김필,8060956,2016.02.21,발라드,106586,214
1686,길,김윤아,8060925,2016.02.20,"발라드, 국내드라마",29338,51
1687,공감,정준영,8065398,2016.02.24,발라드,81687,249
1688,팔당댐,에디킴,8068854,2016.02.26,댄스,24995,30
1689,Galaxy,레이디스코드,8064466,2016.02.24,R&B/Soul,28941,63
1690,Drip Drop,태민,8061243,2016.02.23,댄스,25725,138
1691,Feel So Good,BAP,8060961,2016.02.22,댄스,12263,48
1692,금요일밤,마마무,8068882,2016.02.26,R&B/Soul,16432,6
1693,Soldier,태민,8062122,2016.02.23,발라드,19055,77
1694,벌써,태민,8062642,2016.02.23,발라드,12932,73
1695,우리끼리,마마무,8068880,2016.02.26,R&B/Soul,19153,51
1696,Emotion,마마무,8068884,2016.02.26,R&B/Soul,14102,34
1697,Guess Who,태민,8062643,2016.02.23,댄스,12297,49
1698,야 하고 싶어,지민,8071102,2016.03.03,"발라드, 국내드라마",169193,105
1699,사랑이 온다,"백지영,치타",8070061,2016.02.29,댄스,9176,6
1700,봄인가 봐,"에릭남,웬디",8077712,2016.03.04,발라드,114728,257
1701,ONLY ONE,솔지하니,8075490,2016.03.03,댄스,11201,13
1702,그런 사람,이승기,8071115,2016.03.03,발라드,8099,18
1703,이끌림,티어라이너,3753304,2012.03.29,록/메탈,334856,2271
1704,미스터 미스터리,안예은,8071058,2016.02.28,발라드,10514,23
1705,FANTASTIC BABY,우리동네음악대장,8071065,2016.02.28,록/메탈,10147,11
1706,Let It Be,TheBeatles,8069702,2016.02.29,"발라드, 국내드라마",4638,7
1707,Crazy,임정희,8071155,2016.02.29,발라드,1754,4
1708,같이살자,VOS,8074965,2016.03.04,발라드,3668,4
1709,한숨,이하이,8086947,2016.03.09,R&B/Soul,275694,1592
1710,You Are My Everything,거미,8089568,2016.03.10,"발라드, 국내드라마",136813,88
1711,손잡아 줘요,이하이,8086946,2016.03.09,R&B/Soul,48287,56
1712,너 라는 계절,서인국,8084079,2016.03.08,발라드,24675,57
1713,WORLD TOUR,이하이,8086945,2016.03.09,R&B/Soul,38960,143
1714,FXXK WIT US,이하이,8086949,2016.03.09,R&B/Soul,13075,20
1715,덕수궁 돌담길의 봄,윤아,8091961,2016.03.11,발라드,28504,44
1716,OFFICIAL,이하이,8086948,2016.03.09,R&B/Soul,11478,22
1717,그림자,루이,8091963,2016.03.11,댄스,16640,29
1718,싶은데,라디,33136949,2020.12.15,R&B/Soul,65,1
1719,한 사람을 사랑했네,규현,8086477,2016.03.09,발라드,9461,14
1720,봄 사랑 벚꽃 말고,"HIGH4,아이유",4579468,2014.04.08,발라드,221447,419
1721,오늘은 가지마,"임세준,벤",8090058,2016.03.10,발라드,17908,9
1722,영혼없이 말하지마,미스에스,8077872,2016.03.08,랩/힙합,2257,1
1723,이야기,"양요섭,리차드파커스",8089748,2016.03.10,R&B/Soul,11758,8
1724,Mirror,피에스타,8079377,2016.03.09,댄스,6452,16
1725,우연히 봄,"로꼬,유주",5650996,2015.04.08,"발라드, 랩/힙합, 국내드라마",163768,745
1726,다시 너를,"매드클라운,김나영",8100402,2016.03.17,"발라드, 랩/힙합, 국내드라마",83368,79
1727,말해! 뭐해?,케이윌,8102386,2016.03.18,"발라드, 국내드라마",113004,118
1728,7월 7일,레드벨벳,8098471,2016.03.17,발라드,69347,375
1729,Don`t Cry,우리동네음악대장,8094566,2016.03.13,록/메탈,50053,112
1730,그녀가 곁에 없다면,장범준,8104514,2016.03.25,록/메탈,62194,51
1731,무지개,스탠딩에그,8094460,2016.03.14,"발라드, 인디음악",52486,54
1732,같은 곳에서,소녀온탑,8104431,2016.03.19,댄스,93361,413
1733,Yum-Yum,마카롱꿀떡,8101027,2016.03.17,랩/힙합,111792,152
1734,Cool Hot Sweet Love,레드벨벳,8098472,2016.03.17,R&B/Soul,22565,82
1735,Fingertips,Pinkrush,8104428,2016.03.19,댄스,27421,80
1736,사랑이니까,에일리,8100581,2016.03.17,"발라드, 국내드라마",8709,11
1737,Don`t Matter,화려강산,8104429,2016.03.19,댄스,19294,74
1738,장미꽃 향기는 바람에 날리고,레드벨벳,8098475,2016.03.17,발라드,24453,78
1739,살찐 사랑,제시,8096613,2016.03.15,R&B/Soul,7823,18
1740,내가 이래,한해,8098469,2016.03.16,랩/힙합,11295,36
1741,처음인가요,레드벨벳,8098474,2016.03.17,발라드,20374,64
1742,그렇게 안녕,백지영,8100638,2016.03.17,"발라드, 국내드라마",2504,2
1743,Light Me Up,레드벨벳,8098473,2016.03.17,R&B/Soul,18456,127
1744,24시간,MakeSomeNoise,8104427,2016.03.19,댄스,15222,59
1745,City,오왼오바도즈,8094464,2016.03.14,"랩/힙합, 인디음악",73085,193
1746,사랑에 빠졌죠,장범준,8104509,2016.03.25,록/메탈,71385,59
1747,Fly,GOT7,8104596,2016.03.21,댄스,29485,98
1748,빗속으로,장범준,8104512,2016.03.25,록/메탈,29338,32
1749,With You,린,8109957,2016.03.24,"발라드, 국내드라마",27238,16
1750,봄비,장범준,8104513,2016.03.25,록/메탈,52205,230
1751,사랑에 빠져요,장범준,8104515,2016.03.25,록/메탈,19292,28
1752,그녀가 웃었죠,장범준,8104510,2016.03.25,록/메탈,11466,16
1753,떠나야만해,장범준,8104511,2016.03.25,록/메탈,16125,36
1754,사실은,박재범,8106605,2016.03.22,R&B/Soul,30937,50
1755,홍대와 건대 사이,장범준,8104517,2016.03.25,록/메탈,32447,118
1756,Interview,에릭남,8109960,2016.03.24,댄스,56160,143
1757,애태우는 여자,장범준,8104516,2016.03.25,록/메탈,6736,9
1758,자장가를 활용한 신곡,장범준,8104518,2016.03.25,록/메탈,8106,23
1759,밤을 지워가네,장범준,8104523,2016.03.25,록/메탈,11007,44
1760,귀여운 여자,장범준,8104520,2016.03.25,록/메탈,7128,15
1761,키스,장범준,8104519,2016.03.25,록/메탈,5664,16
1762,담배,장범준,8104522,2016.03.25,록/메탈,7250,31
1763,D,DEAN,8104521,2016.03.25,록/메탈,4498,12
1764,꽃송이가,버스커버스커,3753309,2012.03.29,록/메탈,97853,152
1765,한 발짝 두 발짝,오마이걸,8104892,2016.03.28,댄스,102472,1215
1766,스토커,10cm,5466962,2014.11.19,"인디음악, 포크/블루스",265497,435
1767,몇 년 후에,블락비,8115189,2016.03.28,R&B/Soul,62396,85
1768,봄이 좋냐??,10cm,8124417,2016.04.01,"인디음악, 포크/블루스",182894,312
1769,봄날의 기억,비투비,8115192,2016.03.28,발라드,108530,791
1770,사랑하자,SG워너비,8122589,2016.03.31,"발라드, 국내드라마",75793,72
1771,여수 밤바다,버스커버스커,3753303,2012.03.29,록/메탈,153209,325
1772,LIAR LIAR,오마이걸,8115185,2016.03.28,댄스,47072,218
1773,다시 산다면,김필,8114971,2016.03.26,"발라드, 국내드라마",15203,21
1774,Killing Me,비투비,8115190,2016.03.28,발라드,36752,134
1775,봄비,우리동네음악대장,8115178,2016.03.27,발라드,9206,24
1776,나를 찾아줘,전효성,8115180,2016.03.28,댄스,5169,9
1777,그려본다,비투비,8115191,2016.03.28,발라드,31953,127
1778,너 내게로 와라,창민＆이현,8124361,2016.04.01,발라드,8284,18
1779,너 같아서,비투비,8115195,2016.03.28,발라드,26346,61
1780,8만원,블랙넛,8122588,2016.03.31,랩/힙합,8199,44
1781,자리비움,비투비,8115196,2016.03.28,댄스,23936,66
1782,So Pretty,비투비,8115194,2016.03.28,발라드,23488,39
1783,너도,로꼬,8129245,2016.04.05,랩/힙합,63152,95
1784,"그대, 바람이 되어",엠씨더맥스,8129740,2016.04.07,"발라드, 국내드라마",39966,29
1785,Crush,아이오아이,8129783,2016.04.05,댄스,29535,62
1786,썸타,"첸,헤이즈,바이브",8136765,2016.04.08,댄스,49477,52
1787,기대해도 좋은 날,마마무,8127341,2016.04.04,댄스,26876,44
1788,이렇게 예뻤나,씨엔블루,8126691,2016.04.04,록/메탈,21655,48
1789,니꺼내꺼,투빅,8130499,2016.04.06,R&B/Soul,10072,7
1790,일기장,이승철,8131704,2016.04.07,발라드,6776,15
1791,니가 보인다,"버나드박,혜림",8126688,2016.04.03,R&B/Soul,6111,4
1792,제발,어쿠스틱콜라보,8131386,2016.04.06,"발라드, 인디음악",20658,36
1793,알아,지아,8129289,2016.04.05,"발라드, 국내드라마",3582,3
1794,하늘을 걸어,김필,8128602,2016.04.05,"발라드, 국내드라마",10121,17
1795,How Can I Love You,XIA,8141498,2016.04.14,"발라드, 국내드라마",72021,86
