year,week_num,start_date,end_date,rank,music,singer,album
2013,05,2013.01.27,2013.02.02,92,나쁜 사람,주니엘 (JUNIEL),원앤원 (1 & 1)
2013,06,2013.02.03,2013.02.09,95,오예,10cm,The 2nd EP
2013,04,2013.01.20,2013.01.26,100,저녁 하늘,에일리 (Ailee),Invitation
2013,10,2013.03.03,2013.03.09,87,사랑노트,더 넛츠 (The Nuts),Rebirth
2013,09,2013.02.24,2013.03.02,89,"1,2,3,4 (원,투,쓰리,포)",이하이,"1,2,3,4 (원,투,쓰리,포)"
2013,07,2013.02.10,2013.02.16,88,비 내리는 고모령,알리 (ALi),비 내리는 고모령
2013,08,2013.02.17,2013.02.23,91,가수가 된 이유,이예준,보이스코리아 2 Part 1
2013,05,2013.01.27,2013.02.02,93,Spoiler,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,06,2013.02.03,2013.02.09,96,섹시한 남자,스페이스 A,Re-Turn
2013,10,2013.03.03,2013.03.09,88,비 내리는 고모령,알리 (ALi),비 내리는 고모령
2013,09,2013.02.24,2013.03.02,90,All For You,"정은지, 서인국",응답하라 1997 Love Story Part 1 OST
2013,07,2013.02.10,2013.02.16,89,"1,2,3,4 (원,투,쓰리,포)",이하이,"1,2,3,4 (원,투,쓰리,포)"
2013,08,2013.02.17,2013.02.23,92,나쁜 사람,주니엘 (JUNIEL),원앤원 (1 & 1)
2013,05,2013.01.27,2013.02.02,94,귀여워,"별, 권정열 (10cm)",귀여워
2013,06,2013.02.03,2013.02.09,97,아는 오빠,미 (美),여심
2013,10,2013.03.03,2013.03.09,89,"1,2,3,4 (원,투,쓰리,포)",이하이,"1,2,3,4 (원,투,쓰리,포)"
2013,09,2013.02.24,2013.03.02,91,가수가 된 이유,이예준,보이스코리아 2 Part 1
2013,07,2013.02.10,2013.02.16,90,All For You,"정은지, 서인국",응답하라 1997 Love Story Part 1 OST
2013,08,2013.02.17,2013.02.23,93,Spoiler,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,05,2013.01.27,2013.02.02,95,오예,10cm,The 2nd EP
2013,06,2013.02.03,2013.02.09,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,10,2013.03.03,2013.03.09,90,All For You,"정은지, 서인국",응답하라 1997 Love Story Part 1 OST
2013,09,2013.02.24,2013.03.02,92,나쁜 사람,주니엘 (JUNIEL),원앤원 (1 & 1)
2013,07,2013.02.10,2013.02.16,91,가수가 된 이유,이예준,보이스코리아 2 Part 1
2013,08,2013.02.17,2013.02.23,94,귀여워,"별, 권정열 (10cm)",귀여워
2013,05,2013.01.27,2013.02.02,96,섹시한 남자,스페이스 A,Re-Turn
2013,06,2013.02.03,2013.02.09,99,먼지가 되어,"로이킴, 정준영",슈퍼스타K4 TOP12 Part 1
2013,10,2013.03.03,2013.03.09,91,가수가 된 이유,이예준,보이스코리아 2 Part 1
2013,09,2013.02.24,2013.03.02,93,Spoiler,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,07,2013.02.10,2013.02.16,92,나쁜 사람,주니엘 (JUNIEL),원앤원 (1 & 1)
2013,08,2013.02.17,2013.02.23,95,오예,10cm,The 2nd EP
2013,05,2013.01.27,2013.02.02,97,아는 오빠,미 (美),여심
2013,06,2013.02.03,2013.02.09,100,저녁 하늘,에일리 (Ailee),Invitation
2013,10,2013.03.03,2013.03.09,92,나쁜 사람,주니엘 (JUNIEL),원앤원 (1 & 1)
2013,09,2013.02.24,2013.03.02,94,귀여워,"별, 권정열 (10cm)",귀여워
2013,07,2013.02.10,2013.02.16,93,Spoiler,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,08,2013.02.17,2013.02.23,96,섹시한 남자,스페이스 A,Re-Turn
2013,05,2013.01.27,2013.02.02,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,10,2013.03.03,2013.03.09,93,Spoiler,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,09,2013.02.24,2013.03.02,95,오예,10cm,The 2nd EP
2013,07,2013.02.10,2013.02.16,94,귀여워,"별, 권정열 (10cm)",귀여워
2013,08,2013.02.17,2013.02.23,97,아는 오빠,미 (美),여심
2013,05,2013.01.27,2013.02.02,99,먼지가 되어,"로이킴, 정준영",슈퍼스타K4 TOP12 Part 1
2013,10,2013.03.03,2013.03.09,94,귀여워,"별, 권정열 (10cm)",귀여워
2013,09,2013.02.24,2013.03.02,96,섹시한 남자,스페이스 A,Re-Turn
2013,07,2013.02.10,2013.02.16,95,오예,10cm,The 2nd EP
2013,08,2013.02.17,2013.02.23,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,05,2013.01.27,2013.02.02,100,저녁 하늘,에일리 (Ailee),Invitation
2013,10,2013.03.03,2013.03.09,95,오예,10cm,The 2nd EP
2013,09,2013.02.24,2013.03.02,97,아는 오빠,미 (美),여심
2013,07,2013.02.10,2013.02.16,96,섹시한 남자,스페이스 A,Re-Turn
2013,08,2013.02.17,2013.02.23,99,먼지가 되어,"로이킴, 정준영",슈퍼스타K4 TOP12 Part 1
2013,10,2013.03.03,2013.03.09,96,섹시한 남자,스페이스 A,Re-Turn
2013,09,2013.02.24,2013.03.02,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,07,2013.02.10,2013.02.16,97,아는 오빠,미 (美),여심
2013,08,2013.02.17,2013.02.23,100,저녁 하늘,에일리 (Ailee),Invitation
2013,10,2013.03.03,2013.03.09,97,아는 오빠,미 (美),여심
2013,09,2013.02.24,2013.03.02,99,먼지가 되어,"로이킴, 정준영",슈퍼스타K4 TOP12 Part 1
2013,07,2013.02.10,2013.02.16,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,10,2013.03.03,2013.03.09,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,09,2013.02.24,2013.03.02,100,저녁 하늘,에일리 (Ailee),Invitation
2013,07,2013.02.10,2013.02.16,99,먼지가 되어,"로이킴, 정준영",슈퍼스타K4 TOP12 Part 1
