music,singer,release_date,category,music_like,movie_like,movie_views
비워,"CHANGMO, Hash Swan, ASH ISLAND, 김효은, Leellamarz & The Quiett",2019.06.28,랩/힙합,89753,,
불나방,은지원,2019.06.27,랩/힙합,26052,1521,5686
BAND,"창모, Hash Swan, ASH ISLAND, 김효은",2019.06.08,랩/힙합,138691,,
BIRTHDAY,전소미,2019.06.13,댄스,70966,1805,427087
Prince Ali,Will Smith,2019.05.22,"POP, 국외영화",47220,,
Uh-Oh,(여자)아이들,2019.06.26,랩/힙합,91874,3374,354861
안녕하세요,김재환,2019.05.20,발라드,81585,5009,83780
Arabian Nights,Will Smith,2019.05.22,"POP, 국외영화",38746,,
짐살라빔,레드벨벳(Red Velvet),2019.06.19,댄스,77002,4620,648275
비,폴킴,2016.06.21,R&B/Soul,301429,856,139629
I Don`t Care,"Ed Sheeran, Justin Bieber",2019.07.12,POP,83954,619,56738
대충 입고 나와,우디(Woody),2019.05.29,랩/힙합,75040,116,45111
comethru,Jeremy Zucker,2018.09.28,POP,221629,813,94005
Love Shot,EXO,2018.12.13,댄스,192063,16687,726561
돈 Call Me,염따,2019.05.10,랩/힙합,81360,,
여행,볼빨간사춘기,2018.05.24,"인디음악, 록/메탈",291733,3715,802540
누구 없소,이하이,2019.05.30,댄스,76816,425,18475
"thank u, next",Ariana Grande,2018.11.03,POP,176952,1256,242750
오늘 밤에,홍진영,2019.03.08,성인가요/트로트,60445,871,473543
다섯 번째 계절,오마이걸,2019.05.08,댄스,125342,4173,327350
비가 오잖아,"소유, 오반",2019.05.16,R&B/Soul,51279,500,60456
BET BET,뉴이스트,2019.04.29,댄스,48293,5077,74574
아낙네,MINO,2018.11.26,랩/힙합,191626,3039,49436
가을 타나 봐,바이브,2018.09.18,발라드,178427,,
너는 어땠을까,노을,2018.11.05,발라드,112147,312,82555
있어줄래,길구봉구,2019.04.08,발라드,39497,121,16651
이 밤,양다일,2019.04.26,발라드,47152,255,28689
열애중,벤,2018.05.08,발라드,192490,825,196123
IDOL,방탄소년단,2018.08.24,랩/힙합,319801,32313,1886612
지나오다,닐로,2017.10.31,발라드,258051,,
삐삐,아이유,2018.10.10,R&B/Soul,293598,13169,1719506
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,2014.08.28,"인디음악, 록/메탈",183634,,
7 rings,Ariana Grande,2019.01.18,POP,135419,1278,239319
이별하러 가는 길,임한별,2018.09.13,발라드,147895,526,106882
고백,양다일,2018.10.15,발라드,150950,413,91344
소우주,방탄소년단,2019.04.12,R&B/Soul,267689,,
She,잔나비,2017.09.09,"발라드, 인디음악",107876,1896,69637
Dionysus,방탄소년단,2019.04.12,랩/힙합,164613,,
YES or YES,TWICE,2018.11.05,댄스,160466,7358,2124028
Intro : Persona,방탄소년단,2019.04.12,랩/힙합,126246,15171,244550
"GO HIGH, The Quiett)",이영지,2019.04.13,랩/힙합,79766,,
Don`t Know What To Do,BLACKPINK,2019.04.05,댄스,120791,3794,182041
뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,2016.08.04,"인디음악, 록/메탈",186252,1747,134601
Make It Right,방탄소년단,2019.04.12,랩/힙합,197066,,
Jamais Vu,방탄소년단,2019.04.12,R&B/Soul,147958,,
Seattle Alone,볼빨간사춘기,2019.04.02,"인디음악, 포크/블루스",41523,1512,52453
Mermaid,볼빨간사춘기,2019.04.02,"인디음악, 포크/블루스",83844,1557,89990
HOME,방탄소년단,2019.04.12,랩/힙합,159227,,
Kill This Love,BLACKPINK,2019.04.05,댄스,120791,3794,182041
진심이 담긴 노래,케이시,2019.03.28,발라드,115037,534,94354
벚꽃 엔딩,버스커 버스커,2012.03.29,록/메탈,334685,2275,690926
별 보러 갈래?,볼빨간사춘기,2019.04.02,"인디음악, 포크/블루스",123923,2073,221588
비올레타,IZ*ONE,2019.04.01,댄스,114193,9911,730816
야간비행,백예린,2019.03.18,R&B/Soul,82363,,
그모습 그대로,장범준,2019.03.21,록/메탈,20797,,
내 생에 아름다운,케이윌,2018.10.23,"발라드, 국내드라마",172450,817,127220
