,music,singer,release_date,category,music_like,movie_like,movie_views
228,서프라이즈,범키,2016.01.27,R&B/Soul,12144,43.0,11805.0
229,사랑이었다),지코,2016.01.25,발라드,118870,2900.0,316092.0
230,오늘부터 우리는,여자친구,2015.07.23,댄스,138609,5180.0,2264268.0
231,어디에도,엠씨더맥스,2016.01.28,발라드,238944,3153.0,567063.0
232,너와 나의 시간은,바닐라 어쿠스틱,2016.01.26,"발라드, 국내드라마",20735,,
233,UUU,정인,2016.01.26,발라드,16196,208.0,59704.0
234,시간을 달려서,여자친구,2016.01.25,댄스,168690,3218.0,397331.0
235,어린왕자,려욱,2016.01.28,발라드,60299,1502.0,102094.0
236,I Miss You,마마무,2016.01.29,R&B/Soul,74106,,
237,너는 나 나는 너,지코,2016.01.25,R&B/Soul,145041,6624.0,1149260.0
238,선,유승우,2016.02.02,"R&B/Soul, 인디음악",51424,,
239,나 군대 간다,이승기,2016.01.21,발라드,20172,,
240,당신의 지갑에는 얼마의 사랑이 있나요.,박유천,2016.01.18,발라드,3509,,
241,친구라도 될 걸 그랬어,거미,2003.02.01,R&B/Soul,87233,217.0,92211.0
242,우주를 건너,백예린,2015.11.30,R&B/Soul,164887,2377.0,414174.0
243,Boys And Girls,지코,2015.11.03,랩/힙합,156381,4413.0,1420950.0
244,기억날 그날이 와도,앤씨아,2016.01.16,"발라드, 국내드라마",13894,,
245,잊어버리지마,크러쉬,2016.01.22,R&B/Soul,195675,3041.0,558147.0
246,이젠 잊기로 해요,여은,2016.01.09,"발라드, 국내드라마",33148,,
247,로코 드라마,신혜성,2016.01.12,R&B/Soul,7843,1794.0,89564.0
248,네게 줄 수 있는건 오직 사랑뿐,디셈버,2015.12.05,"발라드, 국내드라마",33304,,
249,잘 지내고 있니,"윤미래, 펀치",2016.01.13,랩/힙합,15982,,
250,나팔바지,싸이,2015.12.01,댄스,65118,3659.0,2380682.0
251,돌아오지마,헤이즈,2016.04.14,랩/힙합,187269,,
252,Shut Up & Groove,헤이즈,2016.07.18,랩/힙합,62490,1504.0,296186.0
253,그의 바다,백예린,2016.06.20,R&B/Soul,74717,,
254,다시 너를,"매드 클라운, 김나영",2016.03.17,"발라드, 랩/힙합, 국내드라마",83259,1504.0,403004.0
255,매일 매일 기다려,우리 동네 음악대장,2016.05.08,록/메탈,27465,,
256,벚꽃이 지면,아이오아이,2016.05.04,댄스,83073,,
257,Everytime,"첸(CHEN), 펀치",2016.02.25,"발라드, 국내드라마",138903,6105.0,596451.0
258,공감,정준영,2016.02.24,발라드,81689,880.0,186014.0
259,Shut Up,언니쓰,2016.07.01,댄스,61879,2648.0,848518.0
260,Forever,비와이(BewhY),2016.07.02,랩/힙합,105583,1353.0,332960.0
261,Why So Lonely,원더걸스,2016.07.05,댄스,156464,4581.0,1567877.0
262,아주 오래된 연인들,하현우,2016.06.05,록/메탈,16337,,
263,No Jam,키썸,2016.06.23,랩/힙합,10141,581.0,142095.0
264,월량대표아적심,홍진영,2016.06.28,성인가요/트로트,12030,505.0,101860.0
265,너 그리고 나,여자친구,2016.07.11,댄스,120264,5399.0,1884816.0
266,Mia & Sebastian`s Theme,Justin Hurwitz,2016.12.09,국외영화,36970,,
267,What I Want For Christmas,EXO,2016.12.19,발라드,69204,,
268,봄에 오면 괴롭힐 거예요,"앤씨아, 육성재",2016.12.26,발라드,10699,2617.0,31497.0
269,끝,권진아,2016.09.19,발라드,146046,1339.0,507137.0
270,Santa Tell Me,Ariana Grande,2014.11.24,POP,231765,1225.0,300507.0
271,죽어도 너야,"V, 진",2016.12.20,"댄스, 국내드라마",97942,10524.0,1510658.0
272,Love Story,린,2016.11.17,"발라드, 국내드라마",20176,211.0,49916.0
273,독도리,박명수 X 딘딘,2016.12.31,랩/힙합,22690,,
274,Another Day Of Sun,La La Land Cast,2016.12.09,국외영화,75660,,
275,Falling For You,EXO,2016.12.19,댄스,73993,,
276,별의 별,에이핑크,2016.12.15,댄스,28655,3055.0,420574.0
277,Dreamer,엄정화,2017.12.26,댄스,2338,544.0,160237.0
278,잠깐만요,어쿠루브,2016.12.23,"인디음악, 포크/블루스",23479,,
279,A Lovely Night,Ryan Gosling & Emma Stone,2016.12.09,국외영화,37543,,
280,이별을 배웠어,"임슬옹, 조이",2016.11.04,발라드,74576,2380.0,189944.0
281,그대의 마음,백지영,2016.12.30,발라드,6460,,
282,만세,양세형 X BewhY,2016.12.31,랩/힙합,31628,,
283,널 미워하지 않길,김나영,2016.12.30,발라드,21878,513.0,99908.0
284,오글오글,박경,2016.12.19,랩/힙합,27859,974.0,52421.0
285,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스",2012.12.06,발라드,161999,6712.0,565530.0
286,지칠 때면,정준하 X ZICO,2016.12.31,랩/힙합,32187,,
287,드림,볼빨간사춘기,2016.12.27,"발라드, 국내드라마",15966,1682.0,73523.0
