,music,singer,release_date,category,music_like,movie_like,movie_views,Unnamed: 0
159,없어,윤하,2013.12.06,발라드,18772,501.0,36684.0,
160,날 위한 이별,디아,2013.12.06,"발라드, 국내드라마",40691,77.0,64338.0,
161,눈사탕,케이윌,2013.12.13,댄스,9113,1001.0,91560.0,
162,가슴 시린 이야기,휘성,2011.03.15,발라드,61834,720.0,193459.0,
163,너를,브라운 아이드 소울,2015.12.08,R&B/Soul,30468,,,
164,겨울 고백,"성시경, 박효신, 서인국, 빅스, 여동생",2013.12.10,발라드,69681,6235.0,282601.0,
165,향수,"케이윌, 전우성",2013.12.17,발라드,12532,457.0,44048.0,
166,너에게만,"범키, 버벌진트",2013.12.16,발라드,36090,,,
167,"Dali, Van, Picasso",빈지노,2013.12.18,"랩/힙합, 인디음악",101647,,,
168,사랑 하지 마,효린,2013.11.26,발라드,8404,,,
169,Lonely,효린,2013.11.26,발라드,12655,202.0,138452.0,
170,스토커,효린,2013.11.26,댄스,19736,,,
171,괜찮다,윤하,2013.12.06,발라드,34790,528.0,48103.0,
172,너 밖에 몰라,효린,2013.11.26,댄스,22280,264.0,395034.0,
173,꽁꽁,신보라,2013.12.02,발라드,8031,243.0,64828.0,
174,가질 수 없는 너,하이니,2013.11.22,"발라드, 국내드라마",31710,79.0,98608.0,
175,마음으로만,박정현,2013.11.28,"발라드, R&B/Soul, 국내드라마",35664,205.0,119595.0,
176,12월의 기적,EXO,2013.12.09,발라드,206915,,,
177,나 어떡해,티아라,2013.12.04,댄스,5825,414.0,248643.0,
178,잊혀진다는 거,노을,2013.11.27,발라드,32398,173.0,53834.0,
179,이별남녀,"서인국, 지아",2013.12.02,발라드,37105,,,
180,그냥 있어줘,2am,2013.11.27,발라드,5998,,,
181,같이 사랑했는데,"이정, 하동균",2013.11.12,발라드,13554,77.0,27966.0,
182,이별식탁,산이,2013.11.21,랩/힙합,42549,371.0,281636.0,
183,She,투빅,2013.11.20,R&B/Soul,4927,,,
184,미치도록,FTISLAND,2013.11.18,록/메탈,8243,357.0,37666.0,
185,장가가고 싶은 남자 시집가고 싶은 여자,장미여관,2013.11.19,"인디음악, 록/메탈",5342,61.0,50859.0,
186,링가 링가,태양,2013.11.08,랩/힙합,31773,1040.0,407050.0,
187,그리워해요,2NE1,2013.11.21,발라드,75743,660.0,468876.0,
188,밤이 오는 거리,노을,2013.11.13,발라드,20063,,,
189,DOOM DADA,T.O.P,2013.11.15,랩/힙합,32415,1055.0,389667.0,
190,향기만 남아,허각,2013.11.11,발라드,41985,164.0,117566.0,
191,거짓말 거짓말 거짓말,이적,2013.11.15,발라드,102125,460.0,158156.0,
192,눈물,리쌍,2013.01.25,랩/힙합,100625,416.0,205011.0,
193,하지 못한 말,노을,2012.11.06,발라드,91724,326.0,86776.0,
194,Special Girl,인피니트H,2013.01.11,랩/힙합,46905,4188.0,395319.0,
195,혼자라고 생각말기,김보경,2013.01.28,발라드,41679,176.0,71655.0,
196,니가 없을 때,인피니트H,2013.01.11,랩/힙합,23133,4128.0,108111.0,
197,빗소리,B.A.P,2013.01.15,랩/힙합,12989,817.0,141142.0,
198,Mine,김재중,2013.01.17,록/메탈,5695,1012.0,97659.0,
199,I’m Sorry,씨엔블루,2013.01.14,록/메탈,31765,435.0,285224.0,
200,"Officially Missing You, Too","긱스, 소유",2012.11.01,발라드,108174,504.0,180850.0,
201,눈물샤워,배치기,2013.01.14,랩/힙합,84183,282.0,399730.0,
202,시작이 좋아,버벌진트,2013.01.07,랩/힙합,38954,109.0,116469.0,
203,메뚜기월드,유재석,2013.01.05,댄스,14604,,,
204,노가르시아,노홍철,2013.01.05,댄스,4452,,,
205,One Kiss,김재중,2013.01.08,록/메탈,6779,,,
206,엄마를 닮았네,길,2013.01.05,댄스,5934,,,
207,강북멋쟁이,정형돈,2013.01.05,댄스,39671,,,
208,Express 999,소녀시대,2013.01.01,댄스,22610,,,
209,일년전에,"장현승, 정은지, 김남주",2013.01.03,발라드,16536,2867.0,288977.0,
210,그 사람,더 원,2007.05.04,발라드,427,,,
211,안아보자,제아,2013.01.04,R&B/Soul,12505,51.0,37540.0,
212,싫다,백지영,2013.01.03,발라드,18559,105.0,151006.0,
213,I Got A Boy,소녀시대,2013.01.01,댄스,57578,2063.0,2160993.0,
214,인어공주,"강지영, 보라, 한선화, 허가윤, 리지",2012.12.26,댄스,20448,,,
215,Goodbye To Romance,써니힐,2012.12.14,발라드,72335,460.0,205623.0,
216,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스",2012.12.06,발라드,161996,6712.0,565532.0,
217,매력있어,AKMU,2012.12.12,포크/블루스,38265,,,
218,카페인,양요섭,2012.11.26,발라드,80658,3875.0,228641.0,
219,되돌리다,이승기,2012.11.22,발라드,155496,963.0,140535.0,
220,사랑은 이렇게,케이윌,2012.12.22,"발라드, 국내드라마",9929,381.0,48870.0,
221,Dancing Queen,소녀시대,2013.01.01,댄스,21569,1494.0,627903.0,
222,영화처럼,"40, 임정희",2013.12.06,R&B/Soul,13187,73.0,21242.0,
223,홀로,정키,2012.08.31,발라드,136953,,,
224,후회할거야,2am,2013.11.27,발라드,4795,112.0,19127.0,
225,나만 몰랐던 이야기,아이유,2011.02.17,발라드,104817,5282.0,363497.0,
226,마사지,효린,2013.11.26,댄스,4831,,,
227,B.O.D.Y,빅스,2013.11.25,댄스,10632,,,
228,시간에 기대어,임정희,2013.11.21,"발라드, 국내드라마",1546,,,
