music,singer,release_date,category,music_like,movie_like,movie_views
얼음요새,김필,2014.10.13,발라드,29140,,
그대에게,신해철,1991.03.20,록/메탈,53768,,
제발,"윤민수, 신용재",2014.10.11,발라드,16023,,
THIS IS LOVE,슈퍼주니어,2014.08.29,댄스,9292,,
My Ballad,스윙스(Swings),2014.10.28,랩/힙합,3466,,
좋은 일이야,비스트,2014.10.20,발라드,20888,,
갈 곳이 없어,거미,2014.10.20,발라드,5605,,
하고 싶은 거 다,S,2014.10.24,발라드,3820,305,91138
LESSON 5,에픽하이,2014.10.21,랩/힙합,6167,,
슬픔을 참는 세 가지 방법,혜령,2021.11.07,발라드,101,,
눈을 감아도,비스트,2014.10.20,발라드,22476,,
5분 고백송,윤건,2014.10.27,발라드,3802,65,25021
막을 올리며,에픽하이,2014.10.21,랩/힙합,10371,788,76948
LIFE IS GOOD,에픽하이,2014.10.21,랩/힙합,7318,,
Drive,비스트,2014.10.20,발라드,27196,7992,280378
신발장,에픽하이,2014.10.21,랩/힙합,112746,6139,2513659
울면서 달리기,V.O.S,2014.10.29,발라드,3243,99,23472
EYES NOSE LIPS,에픽하이,2014.10.21,랩/힙합,15287,1395,591550
AMOR FATI,에픽하이,2014.10.21,랩/힙합,17251,,
SOFA,크러쉬,2014.10.30,R&B/Soul,96081,1398,180702
민물 장어의 꿈,신해철,2002.09.09,"발라드, 록/메탈",9061,,
부르즈 할리파,에픽하이,2014.10.21,랩/힙합,23422,,
나타나 주라,2am,2014.10.30,발라드,8918,308,72212
보고싶어,걸스데이,2014.10.15,발라드,26847,1837,970842
RICH,에픽하이,2014.10.21,랩/힙합,16180,,
바람,god,2014.10.22,발라드,17508,2659,183583
또 싸워,에픽하이,2014.10.21,랩/힙합,20952,828,83659
술이 너보다 낫더라,"포스트맨, 6 to 8",2014.10.27,발라드,26909,,
언제쯤이면,윤현상,2014.10.31,발라드,96532,2660,570147
어떻게 사랑이 그래요,이승환,2006.11.11,발라드,72881,479,108141
오늘따라,2am,2014.10.30,R&B/Soul,7551,336,68592
스포일러,에픽하이,2014.10.21,랩/힙합,36586,1928,809511
BORN HATER,에픽하이,2014.10.21,랩/힙합,112746,6139,2513659
12시 30분,비스트,2014.10.20,발라드,100636,11149,1884596
헤픈엔딩,에픽하이,2014.10.21,랩/힙합,93430,1928,809511
이제 날 안아요,블락비,2014.07.24,발라드,19306,,
너라서,김태우,2014.08.05,"발라드, 국내드라마",1305,,
기다리라 해요,임창정,2014.09.05,"발라드, 국내드라마",2868,,
Cross My Mind,Twin Forks,2014.08.07,-,14184,,
그 자리,문명진,2014.08.05,국내드라마,1787,,
내 맘을 아나요,아이비,2014.08.05,"발라드, 국내드라마",1470,66,40193
바라고 바라고,김나영,2014.08.08,"발라드, R&B/Soul, 국내드라마",18788,,
Madly,클래지콰이,2014.08.01,일렉트로니카,2541,92,73441
Hot Baby,베스티,2014.07.28,댄스,7237,259,339389
Bad,David Guetta & Showtek,2014.04.08,일렉트로니카,55868,,
노래 불러줘요,god,2014.07.08,발라드,26329,,
너의 몸에 벤,벤,2014.08.05,"랩/힙합, 인디음악",20210,,
Call You Mine,Jeff Bernat,2012.05.22,R&B/Soul,145365,,
My Girl,켄,2014.08.07,"댄스, 국내드라마",6121,1474,195191
나나,박재범,2014.07.25,랩/힙합,11336,,
Ship And The Globe,Kae Sun,2014.08.07,-,21351,,
해요 말고 해,"HIGH4, 김예림",2014.07.29,R&B/Soul,4953,204,226255
얼레리,육지담,2014.08.06,랩/힙합,2636,,
It Was Always You,Maroon 5,2014.09.01,"POP, 록/메탈",6639,,
I AM,아이언,2014.08.08,랩/힙합,14875,,
It Girl,창민＆이현,2014.07.23,R&B/Soul,4215,89,216990
Kiss Kiss,레이디스 코드,2014.08.07,댄스,9848,720,797574
너 없는 내일,이정,2014.08.04,발라드,2717,,
운명 같은 너,정동하,2014.07.31,"발라드, 국내드라마",10513,624,148186
Love Lane,마마무,2014.07.18,"R&B/Soul, 국내드라마",43039,,
하루만,손호영,2014.08.01,"발라드, 국내드라마",6123,745,132274
그 해 여름,써니힐,2014.08.01,발라드,7120,415,244036
OLL` Ready,올티,2014.08.06,랩/힙합,13555,,
꽃잎놀이,"린, 레오",2014.08.05,발라드,28142,3296,395641
행복,레드벨벳(Red Velvet),2014.08.04,댄스,84154,7476,1947681
8년만의 여름,버즈,2014.08.08,록/메탈,6839,1289,264527
Pool Party,스윙스,2014.08.04,랩/힙합,9854,,
Body Language,산이,2014.08.04,랩/힙합,42201,918,1411266
다시 너를,손승연,2014.07.30,발라드,8776,155,145516
Ain’t Nobody,핫펠트,2014.07.31,댄스,14496,841,733400
괜찮아 사랑이야,다비치,2014.07.30,"발라드, 국내드라마",72294,1187,720182
BACK SEAT,JYJ,2014.07.29,R&B/Soul,18885,3309,602256
빨개요,현아,2014.07.28,댄스,30098,1904,5802558
But I Love U,씨스타,2014.07.21,댄스,5406,,
Back,인피니트,2014.07.22,댄스,46481,6435,1060478
Diamond,인피니트,2014.07.22,발라드,22085,,
보기 드문 여자,블락비,2014.07.24,댄스,56996,,
돌아오는 길,서인국,2014.07.21,"발라드, 국내드라마",12430,821,210938
최고의 행운,첸,2014.07.23,"발라드, 국내드라마",112292,7013,656219
나쁜손,씨스타,2014.07.21,댄스,13563,,
HER,블락비,2014.07.24,댄스,119928,5911,3208726
Touch my body,씨스타,2014.07.21,댄스,67441,2455,6347956
Jackpot,블락비,2014.07.24,댄스,68988,3399,2097996
How Do I Look?,빈지노(Beenzino),2014.07.16,랩/힙합,32540,,
명수네 떡볶이,박명수,2014.07.16,댄스,20296,,
Fantastic,헨리,2014.07.14,댄스,10684,882,2153993
AEAO,"다이나믹 듀오(Dynamic Duo), DJ Premier",2014.07.16,랩/힙합,23459,230,384977
Darling,걸스데이(Girl`s Day),2014.07.14,댄스,65934,2260,5208710
Red Light,f(x),2014.07.07,댄스,35859,1607,2631400
움직이지마,다비치,2014.07.04,발라드,6946,492,285456
I`m in love,"에일리, 2LSON",2014.07.11,발라드,47968,553,764283
Saturday Night,god,2014.07.08,댄스,15249,2017,1217528
MILK,f(x),2014.07.07,댄스,24391,,
우리가 사는 이야기,god,2014.07.08,발라드,19534,1604,491893
이제 그만 싸우자,"허각, 정은지",2014.07.08,발라드,41135,1782,832877
Mr.애매모호,마마무,2014.06.18,R&B/Soul,49414,3603,1647727
하늘색 약속,god,2014.07.08,발라드,52358,1963,1618496
Nice Body,효민,2014.06.30,댄스,11400,318,1570568
애타는 마음,"울랄라세션, 아이유(IU)",2014.06.30,댄스,95975,,
우산,윤하,2008.04.17,랩/힙합,121984,,
화장 지웠어,개코,2014.10.16,랩/힙합,62998,474,441894
너 하나만,김태우,2014.11.06,"발라드, R&B/Soul, 국내드라마",3366,,
예쁜 나이 25살,송지은,2014.10.14,댄스,26066,783,638948
Christmalo.win,서태지,2014.10.20,록/메탈,23443,1303,229721
Error,빅스,2014.10.14,댄스,30125,2698,181002
거짓말 거짓말 거짓말,이적,2013.11.15,발라드,102116,460,158154
DAY N NIGHT,허각,2014.10.07,발라드,5919,144,55915
걱정말아요 그대,"곽진언, 김필",2014.10.03,포크/블루스,34464,,
Home,로이킴,2014.10.08,포크/블루스,49980,1340,300996
"묘해, 너와",어쿠스틱 콜라보,2014.09.02,"발라드, 국내드라마",150929,,
내 마음이 뭐가 돼,윤하,2014.10.07,발라드,25746,995,103400
시간과 낙엽,AKMU,2014.10.10,발라드,94915,,
Advice,김동률,2014.10.01,발라드,14339,,
청춘,김동률,2014.10.01,발라드,20270,835,84597
내 사람,김동률,2014.10.01,발라드,34928,,
내 마음은,김동률,2014.10.01,발라드,13226,,
동행,김동률,2014.10.01,발라드,42941,,
고백,김동률,2014.10.01,발라드,14079,,
소격동,아이유,2014.10.02,일렉트로니카,79307,7673,1481053
그게나야,김동률,2014.10.01,발라드,81841,4262,770207
No One Else Like You,Adam Levine,2014.07.01,"록/메탈, 국외영화",75111,,
손대지마,에일리,2014.09.25,댄스,66001,1624,1383921
Because I Love You,바이브,2014.09.24,발라드,10153,249,65560
설렘주의,"NS Yoon-G, 기리보이(Giriboy)",2014.09.19,발라드,38569,,
당신만이,"곽진언, 김필, 임도혁",2014.09.20,발라드,50350,,
미친거 아니야?,2PM,2014.09.29,댄스,21359,2090,712133
Holler,소녀시대-태티서(Girls` Generation-TTS),2014.09.16,댄스,24426,1753,1141210
