Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
114,20,"

여전히 아름다운지
세븐틴 | 슬기로운 의사생활 시즌2 OST Part 8","3,489,818","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
115,7,"

밤편지
아이유 (IU) | 밤편지","3,476,094","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
116,7,"

Bk Love
임영웅 | 뽕숭아학당 PART23","3,456,338","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
117,20,"

낮 밤 (Feat. 박재범)
이영지 | 낮 밤","3,336,879","MAINSTREAM
Kakao Entertainment",,
118,23,"

Favorite (Vampire)
NCT 127 | Favorite - The 3rd Album Repackage","3,244,461","SM Entertainment
Dreamus",,
119,3,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","3,191,076","씨제스엔터테인먼트
Kakao Entertainment",,
120,9,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","3,175,242","시애틀뮤직
Warner Music",,
121,new,"

MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Semi Final","3,158,494","Stone Music Entertainment
지니뮤직",,
122,18,"

별의 조각
윤하 | YOUNHA 6th Album `END THEORY`","3,123,201","C9엔터테인먼트
Kakao Entertainment",,
123,new,"

교재를 펼쳐봐
이승윤 | 폐허가 된다 해도","3,120,047","쇼플레이
Kakao Entertainment",,
124,11,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","3,113,344","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
125,18,"

안녕 (Hello)
조이 (JOY) | 안녕 (Hello) - Special Album","3,092,109","SM Entertainment
Dreamus",,
126,11,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","3,034,053","Virgin EMI
Universal Music",,
127,13,"

Alcohol-Free
TWICE | Taste of Love","3,029,799","JYP Entertainment
Dreamus",,
128,10,"

Black Mamba
aespa | Black Mamba","3,020,099","SM Entertainment
Dreamus",,
129,67,"

손을 잡아줘요
이하이 | 지금, 헤어지는 중입니다 OST Part.2","2,975,029","뮤직그라운드, 구름위에음악사
NHN벅스",,
