Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
74,5,"

우린 어쩌다 헤어진 걸까
허각 | Hello","6,242,173","플레이엠엔터테인먼트
Kakao Entertainment",,
75,-,"

Dance Monkey
Tones And I | Dance Monkey","6,226,918","Elektra
Warner Music",,
76,4,"

우리 왜 헤어져야 해
신예영 | 우리 왜 헤어져야 해","6,176,200","스튜디오 오드리
Kakao Entertainment",,
77,7,"

Panorama
IZ*ONE (아이즈원) | One-reeler / Act IV","6,082,317","OFF THE RECORD Entertainment, SWING Entertainment
지니뮤직, Stone Music Entertainment",,
78,5,"

거짓말이라도 해서 널 보고싶어
백지영 | 거짓말이라도 해서 널 보고싶어","5,983,245","트라이어스
Kakao Entertainment",,
79,16,"

좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파)
MC몽 | FLOWER 9","5,953,182","밀리언마켓
Kakao Entertainment",,
80,6,"

딩가딩가 (Dingga)
마마무 (Mamamoo) | 딩가딩가 (Dingga)","5,903,607","RBW
Kakao Entertainment",,
81,4,"

서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA))
윤하 | 서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)) OST","5,896,289","TOON STUDIO, 느을
Kakao Entertainment",,
82,6,"

I CAN`T STOP ME
TWICE | Eyes wide open","5,836,911","JYP Entertainment
Dreamus",,
83,12,"

화(火花)
(여자)아이들 | I burn","5,805,132","큐브엔터테인먼트
Kakao Entertainment",,
84,20,"

사랑하는 당신께
폴킴 | 사랑하는 당신께","5,779,687","뉴런뮤직
Kakao Entertainment",,
85,6,"

Paris In The Rain
Lauv | I met you when I was 18. (the playlist)","5,737,089","뮤직테이블
NHN벅스",,
86,3,"

멜로디
ASH ISLAND | 멜로디","5,712,093","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
87,9,"

마리아 (Maria)
화사(Hwa Sa) | Mara","5,702,544","RBW
Kakao Entertainment",,
88,7,"

안녕
폴킴 | 호텔 델루나 OST Part.10","5,551,375","냠냠엔터테인먼트
Kakao Entertainment",,
89,9,"

Don`t Start Now
Dua Lipa | Don`t Start Now","5,522,194","Warner Records
Warner Music",,
90,8,"

소확행
임창정 | 힘든 건 사랑이 아니다","5,519,305","예스아이엠엔터테인먼트
인터파크",,
91,6,"

비로소 너에게 도착했다 (Full Bloom)
마크툽 (Maktub) | Red Moon : Full Bloom (滿開)","5,451,077","MAKTUB Company
Warner Music",,
92,5,"

사랑은 지날수록 더욱 선명하게 남아
전상근 | 한 걸음 : 흔적","5,407,077","셀러빗(CELEBIT)
Kakao Entertainment",,
