,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
110,2020,32,2020.08.02,2020.08.08,111,공중정원 (Garden In The Air),백현 (BAEKHYUN),Our Beloved BoA #1 - SM STATION,,
111,2020,32,2020.08.02,2020.08.08,112,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,,
112,2020,32,2020.08.02,2020.08.08,113,Moon,방탄소년단,MAP OF THE SOUL : 7,,
113,2020,32,2020.08.02,2020.08.08,114,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,,
114,2020,32,2020.08.02,2020.08.08,115,Juice,Lizzo,Juice,,
115,2020,32,2020.08.02,2020.08.08,116,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비),,
116,2020,32,2020.08.02,2020.08.08,117,우리 만남이,폴킴,"정규 2집 `마음, 둘`",,
117,2020,32,2020.08.02,2020.08.08,118,Birthday,Anne-Marie,Birthday,,
118,2020,32,2020.08.02,2020.08.08,119,Cool한 42 (with. 박문치 유니버스),박문치,Cool한 42,,
119,2020,32,2020.08.02,2020.08.08,120,불 좀 꺼줄래,"오반 (OVAN), 주식",불 좀 꺼줄래,,
120,2020,32,2020.08.02,2020.08.08,121,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (Maktub),Red Moon : SUPERNOVA,,
121,2020,32,2020.08.02,2020.08.08,122,Filter,방탄소년단,MAP OF THE SOUL : 7,,
122,2020,32,2020.08.02,2020.08.08,123,주저하는 연인들을 위해,잔나비,전설,,
123,2020,32,2020.08.02,2020.08.08,124,Believer,Imagine Dragons,Evolve,,
124,2020,32,2020.08.02,2020.08.08,125,다시 만날까 봐,V.O.S,다시 만날까 봐,,
125,2020,32,2020.08.02,2020.08.08,126,Now or Never,에이프릴(APRIL),Summer Special Album `Hello Summer`,,
126,2020,32,2020.08.02,2020.08.08,127,Shape of You,Ed Sheeran,÷ (Deluxe),,
127,2020,32,2020.08.02,2020.08.08,128,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,,
128,2020,32,2020.08.02,2020.08.08,129,LALALILALA,에이프릴(APRIL),7th Mini Album `Da Capo`,,
129,2020,32,2020.08.02,2020.08.08,130,Watermelon Sugar,Harry Styles,Fine Line,,
130,2020,32,2020.08.02,2020.08.08,131,니 소식,송하예,니 소식,,
131,2020,32,2020.08.02,2020.08.08,132,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,,
132,2020,32,2020.08.02,2020.08.08,133,Say So,Doja Cat,Hot Pink,,
133,2020,32,2020.08.02,2020.08.08,134,Youth,Troye Sivan,Blue Neighbourhood (Deluxe),,
134,2020,32,2020.08.02,2020.08.08,135,Way Back Home,숀 (SHAUN),Take,,
135,2020,32,2020.08.02,2020.08.08,136,그때가 좋았어,케이시 (Kassy),그때가 좋았어,,
136,2020,32,2020.08.02,2020.08.08,137,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack) OST,,
137,2020,32,2020.08.02,2020.08.08,138,Attention,Charlie Puth,Voicenotes,,
138,2020,32,2020.08.02,2020.08.08,139,"다시 난, 여기",백예린,사랑의 불시착 OST Part 4,,
139,2020,32,2020.08.02,2020.08.08,140,여행,볼빨간사춘기,Red Diary Page.2,,
140,2020,32,2020.08.02,2020.08.08,141,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,,
141,2020,32,2020.08.02,2020.08.08,142,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트,,
142,2020,32,2020.08.02,2020.08.08,143,언제라도 어디에서라도,정승환,언제라도 어디에서라도,,
143,2020,32,2020.08.02,2020.08.08,144,술이 문제야,"장혜진, 윤민수",술이 문제야,,
144,2020,32,2020.08.02,2020.08.08,145,Bad,Christopher,Bad,,
145,2020,32,2020.08.02,2020.08.08,146,나의 오랜 연인에게,다비치,나의 오랜 연인에게,,
146,2020,32,2020.08.02,2020.08.08,147,ROXANNE,Arizona Zervas,ROXANNE,,
147,2020,32,2020.08.02,2020.08.08,148,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular,,
148,2020,32,2020.08.02,2020.08.08,149,Nobody`s Love,Maroon 5,Nobody`s Love,,
149,2020,32,2020.08.02,2020.08.08,150,Sugar,Maroon 5,V (Deluxe Edition),,
