Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
69,6,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","5,084,909","더그루브엔터테인먼트
Kakao Entertainment",,
70,-,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","5,083,481","Stone Music Entertainment
지니뮤직",,
71,new,"

나는 너였다
V.O.S | 나는 너였다","5,031,031","레이벡스
Kakao Entertainment",,
72,2,"

DICE
NMIXX | ENTWURF","5,013,794","JYP Entertainment
Dreamus",,
73,5,"

그래서 그대는
이영현 | 그래서 그대는","4,969,286","방구석 캐스팅
Kakao Entertainment",,
74,3,"

Girls
aespa | Girls - The 2nd Mini Album","4,958,403","SM Entertainment
Dreamus",,
75,6,"

통화연결음
보라미유, MJ (써니사이드) | 통화연결음","4,958,160","프로젝트 리본
Kakao Entertainment",,
76,3,"

늦은 밤 헤어지긴 너무 아쉬워
케이시 (Kassy) | LOVE & HATE","4,941,287","넥스타엔터테인먼트
Kakao Entertainment",,
77,-,"

The Astronaut
진 (JIN) | The Astronaut","4,831,708","BIGHIT MUSIC / HYBE
YG PLUS",,
78,1,"

Off My Face
Justin Bieber | Justice","4,695,931","RBMG/Def Jam
Universal Music",,
79,7,"

못해
김나영 | 못해 (Re : WIND 4MEN Vol.02)","4,694,044","메이저나인
지니뮤직",,
80,1,"

Butter
방탄소년단 | Butter","4,591,462","BIGHIT MUSIC / HYBE
YG PLUS",,
81,3,"

바보에게 바보가 (웹툰 `연애의 발견` X 이석훈)
이석훈 | 바보에게 바보가 (웹툰 `연애의 발견` X 이석훈) OST","4,581,799","TOON STUDIO
Kakao Entertainment",,
82,6,"

Talk that Talk
TWICE | BETWEEN 1&2","4,549,873","JYP Entertainment
Dreamus",,
83,16,"

모든 계절은 너였다
길구봉구 | 모든 계절은 너였다","4,540,812","이별 후
Kakao Entertainment",,
84,4,"

GHOST TOWN
Benson Boone | GHOST TOWN","4,431,327","Warner Records
Warner Music",,
85,4,"

Dangerously
Charlie Puth | Nine Track Mind (Deluxe)","4,419,308","Artist Partners
Warner Music",,
86,4,"

무지개
임영웅 | IM HERO","4,389,638","물고기뮤직
Dreamus",,
87,-,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","4,378,980","BIGHIT MUSIC / HYBE
YG PLUS",,
88,4,"

GANADARA (Feat. 아이유)
박재범 | GANADARA","4,373,366","MORE VISION
Kakao Entertainment",,
89,6,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","4,349,763","뮤직레시피
Warner Music",,
90,5,"

MY BAG
(여자)아이들 | I NEVER DIE","4,201,748","큐브엔터테인먼트
Kakao Entertainment",,
91,5,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","4,152,018","YG Entertainment
YG PLUS",,
92,new,"

Nirvana (Feat. pH-1, WDBZ)
강다니엘 | The Story : RETOLD","4,146,607","KONNECT ENTERTAINMENT
Sony Music",,
93,5,"

Unholy
Sam Smith, Kim Petras | Unholy","4,135,507","EMI
Universal Music",,
94,12,"

Snowman
Sia | Snowman","4,119,469","Monkey Puzzle, Atlantic
Warner Music",,
95,2,"

아버지
임영웅 | IM HERO","3,990,178","물고기뮤직
Dreamus",,
96,6,"

Weekend
태연 (TAEYEON) | Weekend","3,980,962","SM Entertainment
Dreamus",,
97,2,"

I Ain`t Worried
OneRepublic | Top Gun: Maverick (Music From The Motion Picture) OST","3,915,516","Interscope Records
Universal Music",,
98,1,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","3,873,009","BIGHIT MUSIC / HYBE
YG PLUS",,
99,7,"

SMILEY (Feat. BIBI)
YENA(최예나) | SMiLEY","3,868,307","위에화엔터테인먼트코리아
지니뮤직, Stone Music Entertainment",,
100,3,"

Celebrity
아이유 (IU) | Celebrity","3,827,967","EDAM엔터테인먼트
Kakao Entertainment",,
101,18,"

추억때문에
유림 | 추억때문에","3,759,077","원탑엔터테인먼트
Kakao Entertainment",,
102,1,"

Yet To Come
방탄소년단 | Proof","3,676,443","BIGHIT MUSIC / HYBE
YG PLUS",,
103,9,"

듣고 싶을까
MSG워너비(M.O.M) | 듣고 싶을까","3,670,622","NK Company
지니뮤직, Stone Music Entertainment",,
104,20,"

Santa Tell Me
Ariana Grande | Santa Tell Me","3,557,638","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
105,23,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","3,529,685","Columbia/Legacy
Sony Music",,
106,10,"

가을밤에 든 생각
잔나비 | 잔나비 소곡집 l","3,461,311","페포니 뮤직
Kakao Entertainment",,
107,5,"

A bientot
임영웅 | IM HERO","3,430,186","물고기뮤직
Dreamus",,
108,-,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","3,386,620","NEOKIDZ
YG PLUS",,
109,11,"

사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네
잔나비 | 봉춤을 추네","3,262,270","페포니 뮤직
지니뮤직",,
110,-,"

밤편지
아이유 (IU) | 밤편지","3,222,052","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
111,7,"

아무래도 난
주시크 (Joosiq) | 아무래도 난","3,172,562","뮤직레시피
Warner Music",,
112,11,"

인생찬가
임영웅 | IM HERO","3,168,635","물고기뮤직
Dreamus",,
113,4,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","3,110,769","유야호
지니뮤직, Stone Music Entertainment",,
114,14,"

살다가 한번쯤
이예준 | 살다가 한번쯤 (Re : WIND 4MEN Vol.03)","3,066,370","메이저나인
지니뮤직",,
115,3,"

손이 참 곱던 그대
임영웅 | IM HERO","3,026,306","물고기뮤직
Dreamus",,
116,5,"

희재
성시경 | 국화꽃향기 OST","2,975,190","태원엔터테인먼트
태원엔터테인먼트",,
117,4,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","2,962,264","Stone Music Entertainment
지니뮤직",,
118,3,"

사랑해 진짜
임영웅 | IM HERO","2,954,355","물고기뮤직
Dreamus",,
119,5,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","2,924,546","TOON STUDIO
Kakao Entertainment",,
120,13,"

진심이었던 사람만 바보가 돼
권진아 | 진심이었던 사람만 바보가 돼","2,917,163","안테나뮤직
Kakao Entertainment",,
121,5,"

라일락
아이유 (IU) | 5th Album `LILAC`","2,884,710","EDAM엔터테인먼트
Kakao Entertainment",,
122,5,"

한 페이지가 될 수 있게
DAY6 | The Book of Us : Gravity","2,881,237","JYP Entertainment
Dreamus",,
