Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
62,6,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","6,802,199","SM Entertainment
Dreamus",,
63,2,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","6,777,010","BIGHIT MUSIC / HYBE
YG PLUS",,
64,new,"

사진을 보다가
다비치 | 사진을 보다가 (REVIBE Vol.2)","6,771,250","메이저나인
지니뮤직",,
65,2,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","6,699,023","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
66,3,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","6,647,658","TOON STUDIO, 느을
Kakao Entertainment",,
67,11,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","6,560,204","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
68,1,"

Life Goes On
방탄소년단 | BE","6,540,034","BIGHIT MUSIC / HYBE
YG PLUS",,
69,58,"

THRILL RIDE
더보이즈(THE BOYZ) | 6TH MINI ALBUM [THRILL-ING]","6,495,276","크래커엔터테인먼트
Kakao Entertainment",,
70,8,"

고백
장범준 | 첫 번째 `고백`","6,475,776","Kakao Entertainment, 버스커버스커
Kakao Entertainment",,
71,1,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","6,455,242","뮤니콘
Kakao Entertainment",,
72,6,"

나는 너 좋아
장범준 | 슬기로운 의사생활 시즌2 OST Part 3","6,421,785","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
73,3,"

허리춤
오반 (OVAN) | 허리춤","6,283,188","로맨틱팩토리
Kakao Entertainment",,
74,-,"

METEOR
창모 (CHANGMO) | Boyhood","6,269,798","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
75,4,"

Coin
아이유 (IU) | 5th Album `LILAC`","6,247,005","EDAM엔터테인먼트
Kakao Entertainment",,
76,new,"

LO$ER=LO♡ER
투모로우바이투게더 | 혼돈의 장: FIGHT OR ESCAPE","6,153,242","BIGHIT MUSIC / HYBE
YG PLUS",,
77,2,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","6,114,211","TOON STUDIO, 느을
Kakao Entertainment",,
78,1,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","6,079,705","BORN
Kakao Entertainment",,
79,33,"

You can`t sit with us
선미 | 6분의1","5,996,402","어비스컴퍼니
Kakao Entertainment",,
80,28,"

전쟁터 (with 이선희)
AKMU (악뮤) | NEXT EPISODE","5,993,395","YG Entertainment
YG PLUS",,
81,2,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","5,866,305","시애틀뮤직
Warner Music",,
82,2,"

Memories
Maroon 5 | Memories","5,849,830","222 Records/Interscope Records
Universal Music",,
83,1,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","5,741,880","Stone Music Entertainment
지니뮤직",,
84,2,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","5,704,119","Virgin EMI
Universal Music",,
85,6,"

On The Ground
로제 (ROSE) | R","5,682,531","YG Entertainment
YG PLUS",,
86,13,"

너에게
유연석 | 슬기로운 의사생활 시즌2 OST Part 7","5,617,098","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
87,6,"

살짝 설렜어 (Nonstop)
오마이걸 (OH MY GIRL) | NONSTOP","5,601,729","WM엔터테인먼트
Sony Music",,
88,2,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","5,379,268","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
89,13,"

마.피.아. In the morning
ITZY (있지) | GUESS WHO","5,378,808","JYP Entertainment
Dreamus",,
90,1,"

어떻게 지내
오반 (OVAN) | 어떻게 지내","5,377,494","로맨틱팩토리
Kakao Entertainment",,
91,1,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","5,300,090","MAKTUB Company
Warner Music",,
92,3,"

How You Like That
BLACKPINK | How You Like That","5,183,146","YG Entertainment
YG PLUS",,
93,6,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","5,123,978","씨제스엔터테인먼트
Kakao Entertainment",,
94,1,"

벌써 일년 (Drama Ver.)
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Special","5,018,935","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
95,-,"

내사람
SG 워너비 | The Precious History","4,926,521","Stone Music Entertainment
지니뮤직",,
96,-,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","4,505,067","TOON STUDIO, 느을
Kakao Entertainment",,
97,4,"

Dance Monkey
Tones And I | Dance Monkey","4,363,288","Elektra
Warner Music",,
98,13,"

난 너를 사랑해
MSG워너비 | 난 너를 사랑해","4,142,286","유야호
지니뮤직, Stone Music Entertainment",,
99,new,"

회상
정경호 | 슬기로운 의사생활 시즌2 OST Part 9","4,070,044","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
100,1,"

추적이는 여름 비가 되어
장범준 | 장범준 싱글","4,025,941","버스커버스커
Kakao Entertainment",,
101,8,"

Love poem
아이유 (IU) | Love poem","3,841,650","Kakao Entertainment
Kakao Entertainment",,
102,2,"

그냥 안아달란 말야
다비치 | 그냥 안아달란 말야","3,820,031","Stone Music Entertainment
지니뮤직",,
103,23,"

째깍 째깍 째깍 (with Beenzino)
AKMU (악뮤) | NEXT EPISODE","3,819,899","YG Entertainment
YG PLUS",,
104,2,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","3,814,441","예스아이엠엔터테인먼트
인터파크",,
105,new,"

Pose
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","3,763,467","SM Entertainment
Dreamus",,
106,4,"

Paris In The Rain
Lauv | I met you when I was 18. (the playlist)","3,709,852","뮤직테이블
NHN벅스",,
107,6,"

Kiss Me More (Feat. SZA)
Doja Cat | Kiss Me More","3,705,662","Kemosabe Records/RCA Records
Sony Music",,
108,5,"

다시 사랑할 수 있을까
백지영, 이홍기 | 다시 사랑할 수 있을까","3,615,372","트라이어스, 방구석 캐스팅
Kakao Entertainment",,
109,4,"

이렇게 좋아해 본 적이 없어요
CHEEZE (치즈) | 이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)) OST","3,475,285","모스트콘텐츠, 니즈뮤직
NHN벅스",,
110,5,"

Black Mamba
aespa | Black Mamba","3,466,248","SM Entertainment
Dreamus",,
111,20,"

별빛 같은 나의 사랑아
임영웅 | 별빛 같은 나의 사랑아","3,460,623","티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
Kakao Entertainment",,
112,new,"

Knock On Wood
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","3,439,942","SM Entertainment
Dreamus",,
113,6,"

마음을 드려요
아이유 (IU) | 사랑의 불시착 OST Part 11","3,434,509","EDAM엔터테인먼트
Kakao Entertainment",,
114,new,"

무슨 생각해
스탠딩 에그(Standing Egg) | 무슨 생각해","3,294,247","에그뮤직
Kakao Entertainment",,
115,5,"

Tiny Riot
Sam Ryder | Tiny Riot","3,282,616","Parlophone UK
Warner Music",,
116,4,"

체념
정상동기 (김정수, 정기석, 이동휘, 이상이) | MSG워너비 TOP 8 경연곡","3,281,712","유야호
지니뮤직, Stone Music Entertainment",,
117,8,"

밤편지
아이유 (IU) | 밤편지","3,258,400","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
118,14,"

러브 (Prod. 로코베리)
로꼬 (LOCO), 이성경 | Love (Prod. Rocoberry)","3,251,461","하얀달 엔터테인먼트, 딩고뮤직
Kakao Entertainment",,
119,1,"

Don`t Start Now
Dua Lipa | Don`t Start Now","3,244,930","Warner Records
Warner Music",,
120,1,"

Leave The Door Open
Bruno Mars, Anderson .Paak, Silk Sonic | Leave The Door Open","3,242,417","Aftermath Entertainment/Atlantic
Warner Music",,
121,5,"

은하수를 닮은 너에게 (Feat.몰리디)
경서예지 | 은하수를 닮은 너에게","3,218,513","에버그로우
Kakao Entertainment",,
122,-,"

너를 만나
폴킴 | 너를 만나","3,209,941","뉴런뮤직
Kakao Entertainment",,
123,9,"

Way Back Home (2021)
런치 | Way Back Home (2021)","3,207,644","뮤직레시피
Warner Music",,
124,7,"

Leave Before You Love Me
Marshmello, Jonas Brothers | Leave Before You Love Me","3,167,376","Republic Records
Universal Music",,
125,31,"

둘 중에 골라 (Summer or Summer)
효린, 다솜 | 둘 중에 골라 (Summer or Summer)","3,138,278","비보웨이브
지니뮤직, Stone Music Entertainment",,
126,23,"

도망가자 (Run With Me)
선우정아 | Serenade","3,032,961","매직스트로베리사운드
지니뮤직, Stone Music Entertainment",,
127,21,"

BENCH (with Zion.T)
AKMU (악뮤) | NEXT EPISODE","2,998,408","YG Entertainment
YG PLUS",,
128,5,"

살다가
SG 워너비 | 살다가","2,994,552","Stone Music Entertainment
지니뮤직",,
129,18,"

너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
케이시 (Kassy) | 너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)","2,977,762","넥스타엔터테인먼트
Kakao Entertainment",,
130,22,"

Stupid love song (with Crush)
AKMU (악뮤) | NEXT EPISODE","2,902,238","YG Entertainment
YG PLUS",,
131,28,"

HERO
임영웅 | HERO","2,863,167","티조컬처앤컨텐츠, 뉴에라프로젝트
Kakao Entertainment",,
