Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
97,10,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","3,905,557","Stone Music Entertainment
지니뮤직",,
98,8,"

Butter
방탄소년단 | Butter","3,900,202","BIGHIT MUSIC / HYBE
YG PLUS",,
99,8,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","3,868,490","BIGHIT MUSIC / HYBE
YG PLUS",,
100,15,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","3,849,125","더그루브엔터테인먼트
Kakao Entertainment",,
101,new,"

겨울이 좋아졌어
정승환 | 겨울이 좋아졌어","3,778,419","안테나뮤직
Kakao Entertainment",,
102,1,"

무지개
임영웅 | IM HERO","3,712,674","물고기뮤직
Dreamus",,
103,7,"

DICE
NMIXX | ENTWURF","3,611,013","JYP Entertainment
Dreamus",,
104,9,"

늦은 밤 헤어지긴 너무 아쉬워
케이시 (Kassy) | LOVE & HATE","3,567,479","넥스타엔터테인먼트
Kakao Entertainment",,
105,5,"

Dangerously
Charlie Puth | Nine Track Mind (Deluxe)","3,545,408","Artist Partners
Warner Music",,
106,23,"

Christmas Without You
Ava Max | Christmas Without You","3,538,461","Atlantic Records UK
Warner Music",,
107,44,"

Must Have Love
SG워너비, 브라운 아이드 걸스 | SG워너비 ＆ 브라운 아이드 걸스","3,536,890","Beyond Music
Dreamus",,
108,17,"

Text Me Merry Christmas (Feat. Kristen Bell)
Straight No Chaser | Under The Influence: Holiday Edition","3,513,880","Warner Music
Warner Music",,
109,4,"

Unholy
Sam Smith, Kim Petras | Unholy","3,503,419","EMI
Universal Music",,
110,4,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","3,428,673","YG Entertainment
YG PLUS",,
111,22,"

Cheshire
ITZY (있지) | CHESHIRE","3,428,415","JYP Entertainment
Dreamus",,
112,15,"

그래서 그대는
이영현 | 그래서 그대는","3,376,600","방구석 캐스팅
Kakao Entertainment",,
113,4,"

아버지
임영웅 | IM HERO","3,338,970","물고기뮤직
Dreamus",,
114,10,"

Girls
aespa | Girls - The 2nd Mini Album","3,314,931","SM Entertainment
Dreamus",,
115,49,"

메리 메리 크리스마스
이석훈, 윤하, CIX (씨아이엑스), cignature (시그니처), EPEX (이펙스) | C9 Single Album `2022 C9 Christmas`","3,313,889","C9엔터테인먼트
지니뮤직, Stone Music Entertainment",,
116,12,"

첫눈처럼 너에게 가겠다
에일리 (Ailee) | 도깨비 OST Part 9","3,309,590","Stone Music Entertainment, 화앤담픽쳐스
지니뮤직, Stone Music Entertainment",,
117,10,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","3,296,296","BIGHIT MUSIC / HYBE
YG PLUS",,
118,25,"

The Astronaut
진 (JIN) | The Astronaut","3,280,519","BIGHIT MUSIC / HYBE
YG PLUS",,
119,8,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","3,187,202","뮤직레시피
Warner Music",,
120,17,"

통화연결음
보라미유, MJ (써니사이드) | 통화연결음","3,167,693","프로젝트 리본
Kakao Entertainment",,
121,new,"

COME TO MY STU (Feat. 릴러말즈 (Leellamarz))
QM | 쇼미더머니 11 Episode 2","3,154,796","Stone Music Entertainment
지니뮤직",,
122,6,"

Yet To Come
방탄소년단 | Proof","3,121,217","BIGHIT MUSIC / HYBE
YG PLUS",,
123,9,"

GANADARA (Feat. 아이유)
박재범 | GANADARA","3,080,364","MORE VISION
Kakao Entertainment",,
