,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
162,2023,15,2023.04.09,2023.04.15,163,다시 사랑한다면 (니글니글 버터플라이),김필,복면가왕 47회,,
163,2023,15,2023.04.09,2023.04.15,164,예뻤어,DAY6,Every DAY6 February,,
164,2023,15,2023.04.09,2023.04.15,165,Made You Look,Meghan Trainor,Takin` It Back,,
165,2023,15,2023.04.09,2023.04.15,166,Eyes Closed,Ed Sheeran,Eyes Closed,,
166,2023,15,2023.04.09,2023.04.15,167,A bientot,임영웅,IM HERO,,
167,2023,15,2023.04.09,2023.04.15,168,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
168,2023,15,2023.04.09,2023.04.15,169,Flowers,Miley Cyrus,Flowers,,
169,2023,15,2023.04.09,2023.04.15,170,strawberry moon,아이유 (IU),strawberry moon,,
170,2023,15,2023.04.09,2023.04.15,171,One Call Away,Charlie Puth,Nine Track Mind (Deluxe),,
171,2023,15,2023.04.09,2023.04.15,172,"10,000 Hours","Dan + Shay, Justin Bieber","10,000 Hours",,
172,2023,15,2023.04.09,2023.04.15,173,Celebrity,아이유 (IU),Celebrity,,
173,2023,15,2023.04.09,2023.04.15,174,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게,,
174,2023,15,2023.04.09,2023.04.15,175,Rising,tripleS (트리플에스),ASSEMBLE,,
175,2023,15,2023.04.09,2023.04.15,176,INVU,태연 (TAEYEON),INVU - The 3rd Album,,
176,2023,15,2023.04.09,2023.04.15,177,Bad,Christopher,Bad,,
177,2023,15,2023.04.09,2023.04.15,178,손이 참 곱던 그대,임영웅,IM HERO,,
178,2023,15,2023.04.09,2023.04.15,179,Over Me,Overdose,BOYS PLANET - ARTIST BATTLE,,
179,2023,15,2023.04.09,2023.04.15,180,선물,멜로망스(Melomance),Moonlight,,
180,2023,15,2023.04.09,2023.04.15,181,Every Second,Mina Okabe,Every Second,,
181,2023,15,2023.04.09,2023.04.15,182,사랑해 진짜,임영웅,IM HERO,,
182,2023,15,2023.04.09,2023.04.15,183,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아,,
183,2023,15,2023.04.09,2023.04.15,184,스티커 사진,21학번,스티커 사진,,
184,2023,15,2023.04.09,2023.04.15,185,"En Garde (준비,시작!)",En Butter,BOYS PLANET - ARTIST BATTLE,,
185,2023,15,2023.04.09,2023.04.15,186,어른,Sondia,나의 아저씨 OST Part 2,,
186,2023,15,2023.04.09,2023.04.15,187,보금자리,임영웅,IM HERO,,
187,2023,15,2023.04.09,2023.04.15,188,연애편지,임영웅,IM HERO,,
188,2023,15,2023.04.09,2023.04.15,189,눈을 감고 귀를 막아도,"백지영, 길구봉구",눈을 감고 귀를 막아도,,
189,2023,15,2023.04.09,2023.04.15,190,Shape of You,Ed Sheeran,÷ (Deluxe),,
190,2023,15,2023.04.09,2023.04.15,191,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),낭만,,
191,2023,15,2023.04.09,2023.04.15,192,Fall In Love Alone,Stacey Ryan,Fall In Love Alone,,
192,2023,15,2023.04.09,2023.04.15,193,SMILEY (Feat. BIBI),YENA(최예나),SMiLEY,,
193,2023,15,2023.04.09,2023.04.15,194,우린 그렇게 사랑해서,"강민경, 잔나비",우린 그렇게 사랑해서,,
194,2023,15,2023.04.09,2023.04.15,195,FOREVER 1,소녀시대,FOREVER 1 - The 7th Album,,
195,2023,15,2023.04.09,2023.04.15,196,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,,
196,2023,15,2023.04.09,2023.04.15,197,Face-off,지민,FACE,,
197,2023,15,2023.04.09,2023.04.15,198,풍등,이찬원,ONE,,
198,2023,15,2023.04.09,2023.04.15,199,GANADARA (Feat. 아이유),박재범,GANADARA,,
199,2023,15,2023.04.09,2023.04.15,200,Attention,Charlie Puth,Voicenotes,,
