,music,singer,music_id,release_date,category,music_like,comment_count
120,HOLIDAY,수지,30851704,2018.01.29,R&B/Soul,59290,534
121,내가 돌아,보아,30870114,2018.01.31,댄스,16999,210
122,All Right,레드벨벳,30864994,2018.01.29,댄스,25591,220
123,BEAUTIFUL,iKON,30859585,2018.01.25,랩/힙합,36431,278
124,나쁜놈,iKON,30859587,2018.01.25,랩/힙합,36286,380
125,느낌,폴킴,30868631,2018.01.31,R&B/Soul,36035,133
126,안아보자,iKON,30859590,2018.01.25,랩/힙합,27392,239
127,BEST FRIEND,iKON,30859588,2018.01.25,랩/힙합,33849,278
128,눈사람,정승환,30877002,2018.02.19,발라드,242417,1510
129,고맙다,세븐틴,30878838,2018.02.05,댄스,118695,1955
130,오늘밤도,펀치,30879719,2018.02.06,R&B/Soul,58434,129
131,봉제선,다이나믹듀오,30882218,2018.02.07,R&B/Soul,31534,187
132,마지막으로 안아도 될까,허각,30874386,2018.02.06,발라드,24432,75
133,이별 뒷면,권진아,30869144,2018.02.02,"발라드, 국내드라마",63543,228
134,내일할래,효린,30880717,2018.02.06,발라드,11545,58
135,지금 널 찾아가고 있어,세븐틴,30878839,2018.02.05,댄스,102355,973
136,Thinkin` about you,세븐틴,30878837,2018.02.05,댄스,66180,429
137,다시 쓰고 싶어,에일리,30889512,2018.02.09,"발라드, 국내드라마",27724,65
138,My Way,이수,30721801,2017.11.11,"발라드, 국내드라마",163345,834
139,잘가라,홍진영,30883561,2018.02.07,성인가요/트로트,37409,121
140,그때 헤어지면 돼,로이킴,30884950,2018.02.12,발라드,233403,1122
141,별,양요섭,30890388,2018.02.19,발라드,44316,547
142,Thunder,ImagineDragons,34778121,2022.03.22,발라드,4408,8
143,Love Yourself,JustinBieber,30712793,2017.11.06,댄스,111859,1133
144,후유증,"김희철,민경훈",30899960,2018.02.17,록/메탈,41898,501
145,비가 온다,정승환,30902271,2018.02.19,발라드,63326,302
146,네가 없는 곳,양요섭,30902280,2018.02.19,R&B/Soul,38050,293
147,사랑은 아프다,이승철,30897880,2018.02.17,"발라드, 국내드라마",12745,103
148,안되나용 ),김영철,30900007,2018.02.17,성인가요/트로트,10671,200
149,"ONE SHOT, TWO SHOT",보아,30905066,2018.02.20,댄스,26119,233
150,"다시, 봄",정승환,30902270,2018.02.19,발라드,15536,129
151,복을 발로 차버렸어,"강호동,홍진영",30897349,2018.02.17,성인가요/트로트,8641,81
152,True Love,김성규,30917488,2018.02.26,록/메탈,33718,563
153,빛,HOT,91299,1998.09.01,댄스,44383,424
154,행복,HOT,91264,1997.07.05,댄스,29968,109
155,너 하나만,GOT7,30923843,2018.03.12,R&B/Soul,33514,367
156,별이 빛나는 밤,마마무,30937275,2018.03.07,댄스,180272,1512
157,바람,헤이즈,30939452,2018.03.08,랩/힙합,125316,519
158,약속해요,WannaOne,30930312,2018.03.19,댄스,158967,1692
159,내가 더 나빠,헤이즈,30939454,2018.03.08,R&B/Soul,71444,217
160,괜찮냐고,헤이즈,30939453,2018.03.08,R&B/Soul,59134,333
161,고무줄다리기,iKON,30929917,2018.03.05,랩/힙합,36726,567
162,별 바람 꽃 태양,마마무,30935467,2018.03.07,발라드,33133,210
163,잘 살길 바래,헤이즈,30939455,2018.03.08,R&B/Soul,20081,75
164,MIANHAE,헤이즈,30939457,2018.03.08,랩/힙합,22544,179
165,그날의 너에게,노을,30927435,2018.03.05,발라드,8185,31
166,다시,이상순,32830280,2020.08.01,포크/블루스,28268,625
167,She`s gone,정일훈,30939515,2018.03.08,랩/힙합,38775,761
168,꽃 길,BIGBANG,30948698,2018.03.13,R&B/Soul,233800,3144
169,Look,GOT7,30945696,2018.03.12,댄스,48951,437
170,나타나줘,로꼬,30951305,2018.03.14,랩/힙합,51796,168
171,My Blossom,소유,30945823,2018.03.12,발라드,15317,39
172,벚꽃 엔딩,버스커버스커,3753304,2012.03.29,록/메탈,334862,2271
