,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
135,2023,16,2023.04.16,2023.04.22,136,Loving You Girl (Feat. Hkeem),Peder Elias,Loving You Girl,,
136,2023,16,2023.04.16,2023.04.22,137,밤편지,아이유 (IU),밤편지,,
137,2023,16,2023.04.16,2023.04.22,138,2002,Anne-Marie,Speak Your Mind (Deluxe),,
138,2023,16,2023.04.16,2023.04.22,139,Love Yourself,Justin Bieber,Purpose (Deluxe Edition),,
139,2023,16,2023.04.16,2023.04.22,140,Next Level,aespa,Next Level,,
140,2023,16,2023.04.16,2023.04.22,141,The Drum,Alan Walker,The Drum,,
141,2023,16,2023.04.16,2023.04.22,142,인생찬가,임영웅,IM HERO,,
142,2023,16,2023.04.16,2023.04.22,143,라일락,아이유 (IU),5th Album `LILAC`,,
143,2023,16,2023.04.16,2023.04.22,144,Strawberry Sunday,NCT 도재정,Perfume - The 1st Mini Album,,
144,2023,16,2023.04.16,2023.04.22,145,Eyes Closed,Ed Sheeran,Eyes Closed,,
145,2023,16,2023.04.16,2023.04.22,146,신호등,이무진,신호등,,
146,2023,16,2023.04.16,2023.04.22,147,예뻤어,DAY6,Every DAY6 February,,
147,2023,16,2023.04.16,2023.04.22,148,"10,000 Hours","Dan + Shay, Justin Bieber","10,000 Hours",,
148,2023,16,2023.04.16,2023.04.22,149,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,,
149,2023,16,2023.04.16,2023.04.22,150,Vancouver,BIG Naughty (서동현),Lovey Dovey,,
150,2023,16,2023.04.16,2023.04.22,151,Lemon,Kenshi Yonezu,Lemon,,
151,2023,16,2023.04.16,2023.04.22,152,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면,,
152,2023,16,2023.04.16,2023.04.22,153,A bientot,임영웅,IM HERO,,
153,2023,16,2023.04.16,2023.04.22,154,푸른 밤 이 노래,"조이(JOY), 하동균",푸른 밤 이 노래,,
154,2023,16,2023.04.16,2023.04.22,155,strawberry moon,아이유 (IU),strawberry moon,,
155,2023,16,2023.04.16,2023.04.22,156,One Call Away,Charlie Puth,Nine Track Mind (Deluxe),,
156,2023,16,2023.04.16,2023.04.22,157,NOT YOUR GIRL,IVE (아이브),I`ve IVE,,
157,2023,16,2023.04.16,2023.04.22,158,Rome,볼빨간사춘기,사랑.zip,,
158,2023,16,2023.04.16,2023.04.22,159,바보가슴,"송하예, 한빈 (포맨)",바보가슴,,
159,2023,16,2023.04.16,2023.04.22,160,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",쇼미더머니 11 Episode 1,,
160,2023,16,2023.04.16,2023.04.22,161,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
