Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
145,6,"

그래서 그대는
이영현 | 그래서 그대는","2,551,631","방구석 캐스팅
Kakao Entertainment",,
146,8,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","2,550,130","NEOKIDZ
YG PLUS",,
147,6,"

통화연결음
보라미유, MJ (써니사이드) | 통화연결음","2,549,283","프로젝트 리본
Kakao Entertainment",,
148,41,"

한 페이지가 될 수 있게
DAY6 | The Book of Us : Gravity","2,530,660","JYP Entertainment
Dreamus",,
149,8,"

Talk that Talk
TWICE | BETWEEN 1&2","2,526,559","JYP Entertainment
Dreamus",,
150,2,"

바보에게 바보가 (웹툰 `연애의 발견` X 이석훈)
이석훈 | 바보에게 바보가 (웹툰 `연애의 발견` X 이석훈) OST","2,482,556","TOON STUDIO
Kakao Entertainment",,
151,12,"

연애편지
임영웅 | IM HERO","2,465,958","물고기뮤직
Dreamus",,
152,30,"

BLUE CHECK (Feat. 박재범, 제시) (Prod. by Slom)
토이고 (toigo) | 쇼미더머니 11 Episode 3","2,461,252","Stone Music Entertainment
지니뮤직",,
153,40,"

Beautiful Christmas
레드벨벳(Red Velvet), aespa | 2022 Winter SMTOWN : SMCU PALACE","2,443,486","SM Entertainment
Dreamus",,
154,68,"

Christmas Without You
Ava Max | Christmas Without You","2,439,305","Atlantic Records UK
Warner Music",,
155,new,"

HALAZIA
ATEEZ (에이티즈) | SPIN OFF : FROM THE WITNESS","2,427,790","KQ Entertainment
지니뮤직, Stone Music Entertainment",,
156,5,"

GHOST TOWN
Benson Boone | GHOST TOWN","2,356,007","Warner Records
Warner Music",,
157,2,"

눈사람
정승환 | 눈사람","2,354,425","안테나뮤직
지니뮤직",,
158,13,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","2,344,611","Atlantic Records UK
Warner Music",,
159,new,"

LOVE (Feat. Paul Blanco, ASH ISLAND)
NSW yoon | 쇼미더머니 11 Semi Final","2,321,013","Stone Music Entertainment
지니뮤직",,
160,17,"

보금자리
임영웅 | IM HERO","2,315,107","물고기뮤직
Dreamus",,
161,64,"

BINGO (Feat. meenoi, 죠지) (Prod. by Slom)
잠비노 (Jambino) | 쇼미더머니 11 Episode 3","2,297,598","Stone Music Entertainment
지니뮤직",,
162,-,"

Beatbox
NCT DREAM | Beatbox - The 2nd Album Repackage","2,280,455","SM Entertainment
Dreamus",,
163,42,"

아저씨
릴러말즈 (Leellamarz), 크루셜스타 (Crucial Star), QM, 김재욱, NSW yoon, 다민이 (DAMINI) | 쇼미더머니 11 Episode 1","2,277,760","Stone Music Entertainment
지니뮤직",,
164,10,"

팡파레
다비치 | Season Note","2,249,592","WAKEONE
지니뮤직, Stone Music Entertainment",,
165,71,"

Holiday (Feat. 릴보이 (lIlBOI), 기리보이) (Prod. GroovyRoom)
Blase (블라세) | 쇼미더머니 11 Episode 3","2,237,055","Stone Music Entertainment
지니뮤직",,
166,12,"

Weekend
태연 (TAEYEON) | Weekend","2,214,657","SM Entertainment
Dreamus",,
167,41,"

Hurt
NewJeans | NewJeans 1st EP `New Jeans`","2,203,764","ADOR
YG PLUS",,
168,13,"

Blueming
아이유 (IU) | Love poem","2,190,226","Kakao Entertainment
Kakao Entertainment",,
169,14,"

어른
Sondia | 나의 아저씨 OST Part 2","2,190,186","Stone Music Entertainment
지니뮤직",,
170,10,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","2,183,095","시애틀뮤직
Warner Music",,
171,5,"

MY BAG
(여자)아이들 | I NEVER DIE","2,176,321","큐브엔터테인먼트
Kakao Entertainment",,
172,2,"

When I Get Old
Christopher, 청하 | When I Get Old","2,173,768","Parlophone Denmark
Warner Music",,
173,2,"

듣고 싶을까
MSG워너비(M.O.M) | 듣고 싶을까","2,173,525","NK Company
지니뮤직, Stone Music Entertainment",,
174,8,"

라일락
아이유 (IU) | 5th Album `LILAC`","2,164,757","EDAM엔터테인먼트
Kakao Entertainment",,
175,64,"

매일 크리스마스 (Everyday Christmas)
다비치 | 매일 크리스마스 (Everyday Christmas)","2,116,288","WAKEONE
지니뮤직",,
176,new,"

Vroom (Feat. 릴보이 (lIlBOI), 스윙스) (Prod. GroovyRoom)
노윤하 | 쇼미더머니 11 Semi Final","2,100,278","Stone Music Entertainment
지니뮤직",,
177,21,"

STEP
카라 (KARA) | 3rd Album STEP","2,065,525","DSP미디어
Kakao Entertainment",,
178,21,"

Loving You Girl (Feat. Hkeem)
Peder Elias | Loving You Girl","2,064,805","Columbia
Sony Music",,
179,8,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","2,058,952","Stone Music Entertainment
지니뮤직",,
180,71,"

펄펄 (Feat. 다이나믹 듀오) (Prod. R.Tee)
허성현 (Huh) | 쇼미더머니 11 Episode 3","2,043,947","Stone Music Entertainment
지니뮤직",,
181,23,"

Christmas Tree
V | 그 해 우리는 OST Part.5","2,038,017","모스트콘텐츠
NHN벅스",,
182,13,"

Bad Habits
Ed Sheeran | Bad Habits","2,037,683","Atlantic Records UK
Warner Music",,
183,3,"

사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네
잔나비 | 봉춤을 추네","2,021,260","페포니 뮤직
지니뮤직",,
184,8,"

I Ain`t Worried
OneRepublic | Top Gun: Maverick (Music From The Motion Picture) OST","2,019,032","Interscope Records
Universal Music",,
185,85,"

Last Christmas
Wham! | George Michael & Wham! Last Christmas : The Original Motion Picture Soundtrack","2,014,892","Sony Music CG
Sony Music",,
186,34,"

거리에서
성시경 | The Ballads","2,013,487","제로원인터랙티브
더늠",,
187,10,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","1,987,596","MAKTUB Company
Warner Music",,
188,8,"

Bad
Christopher | Bad","1,979,540","Parlophone Denmark
Warner Music",,
189,4,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","1,955,369","유야호
지니뮤직, Stone Music Entertainment",,
190,28,"

선물
멜로망스(Melomance) | Moonlight","1,948,110","민트페이퍼, 광합성
Kakao Entertainment",,
