year,week_num,start_date,end_date,rank,music,singer,album
2015,44,2015.10.25,2015.10.31,30,꿀,40 (포티),꿀
2015,43,2015.10.18,2015.10.24,37,이별밖에,노을,이별밖에
2015,52,2015.12.20,2015.12.26,3,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
2015,49,2015.11.29,2015.12.05,5,나팔바지,싸이 (Psy),칠집싸이다
2015,51,2015.12.13,2015.12.19,4,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,50,2015.12.06,2015.12.12,7,화이트 (WHITE) (Feat. 박재범),다비치,D-MAKE
2015,47,2015.11.15,2015.11.21,11,네게 줄 수 있는건 오직 사랑뿐,디셈버 (December),응답하라 1988 OST Part 5
2015,48,2015.11.22,2015.11.28,14,사랑난로,"서인국, 빅스(VIXX), 박정아, 박윤하",Jelly Christmas 2015 - 4랑
2015,46,2015.11.08,2015.11.14,20,Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls
2015,45,2015.11.01,2015.11.07,24,OOH-AHH하게,TWICE,THE STORY BEGINS
2015,44,2015.10.25,2015.10.31,31,보라빛향기,와블(WABLE),응답하라 1988 OST Part 6
2015,43,2015.10.18,2015.10.24,38,Girl x Friend,EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015"
2015,52,2015.12.20,2015.12.26,4,사랑이 맞을거야,윤미래 (T),사랑이 맞을거야
2015,49,2015.11.29,2015.12.05,6,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,51,2015.12.13,2015.12.19,5,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
2015,50,2015.12.06,2015.12.12,8,화이트 (WHITE) (Feat. 박재범),다비치,D-MAKE
2015,47,2015.11.15,2015.11.21,12,덤앤더머 (DUMB & DUMBER),iKON,WELCOME BACK
2015,48,2015.11.22,2015.11.28,15,아니라고,iKON,WELCOME BACK
2015,46,2015.11.08,2015.11.14,21,Must Have Love (Feat. 에릭남),가인,열두 시가 되면
2015,45,2015.11.01,2015.11.07,25,Dear Santa,소녀시대-태티서 (Girls’ Generation-TTS),Dear Santa - X-Mas Special
2015,44,2015.10.25,2015.10.31,32,어느 째즈바 2015 (Sampled by `어느 째즈바` Composed by 안정훈 / Lyrics by 한진우),터보,AGAIN (다시)
2015,43,2015.10.18,2015.10.24,39,오늘부터 우리는 (Me gustas tu),여자친구 (GFRIEND),2nd Mini Album `Flower Bud`
2015,52,2015.12.20,2015.12.26,5,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
2015,49,2015.11.29,2015.12.05,7,나팔바지,싸이 (Psy),칠집싸이다
2015,51,2015.12.13,2015.12.19,6,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,50,2015.12.06,2015.12.12,9,유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
2015,47,2015.11.15,2015.11.21,13,Sing For You,EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015"
2015,48,2015.11.22,2015.11.28,16,숨바꼭질,터보,AGAIN (다시)
2015,46,2015.11.08,2015.11.14,22,Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls
2015,45,2015.11.01,2015.11.07,26,못먹는 감 (Sour Grapes),"산이 (San E), 매드 클라운(Mad Clown)",못먹는 감
2015,44,2015.10.25,2015.10.31,33,댄싱퀸 (Prod. by 주영훈),터보,AGAIN (다시)
2015,43,2015.10.18,2015.10.24,40,매일 그대와,소진 (걸스데이),응답하라 1988 OST Part 8
2015,30,2015.07.19,2015.07.25,1,와리가리,혁오 (hyukoh),22
2015,52,2015.12.20,2015.12.26,6,Bad,인피니트 (Infinite),Reality
2015,49,2015.11.29,2015.12.05,8,SHAKE IT,씨스타 (Sistar),SHAKE IT
2015,51,2015.12.13,2015.12.19,7,위잉위잉,혁오 (hyukoh),20
2015,50,2015.12.06,2015.12.12,10,IF YOU,BIGBANG (빅뱅),D
2015,47,2015.11.15,2015.11.21,14,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),A
2015,48,2015.11.22,2015.11.28,17,꺼내 먹어요,자이언티(Zion.T),Eat
2015,46,2015.11.08,2015.11.14,23,마음,아이유 (IU),마음
2015,45,2015.11.01,2015.11.07,27,WE LIKE 2 PARTY,BIGBANG (빅뱅),A
2015,44,2015.10.25,2015.10.31,34,Ohio,혁오 (hyukoh),20
2015,43,2015.10.18,2015.10.24,41,LOVE ME RIGHT,EXO,LOVE ME RIGHT - The 2nd Album Repackage
2015,30,2015.07.19,2015.07.25,2,Remember,에이핑크 (Apink),Pink MEMORY
2015,31,2015.07.26,2015.08.01,1,양화대교,자이언티(Zion.T),양화대교
2015,52,2015.12.20,2015.12.26,7,PARTY,소녀시대,PARTY
2015,49,2015.11.29,2015.12.05,9,IF YOU,BIGBANG (빅뱅),D
2015,51,2015.12.13,2015.12.19,8,심쿵해 (Heart Attack),AOA,Heart Attack
2015,50,2015.12.06,2015.12.12,11,주마등 (Feat. MI-WOO),리쌍,주마등
2015,47,2015.11.15,2015.11.21,15,맨정신,BIGBANG (빅뱅),D
2015,48,2015.11.22,2015.11.28,18,Hooka,혁오 (hyukoh),22
2015,46,2015.11.08,2015.11.14,24,My Last (Feat. 로꼬 & GRAY),박재범,My Last
2015,45,2015.11.01,2015.11.07,28,마음,아이유 (IU),마음
2015,44,2015.10.25,2015.10.31,35,그냥 (Just),"자이언티(Zion.T), 크러쉬 (CRUSH)",Young
2015,43,2015.10.18,2015.10.24,42,Sugar,Maroon 5,V (Deluxe Edition)
2015,30,2015.07.19,2015.07.25,3,와리가리,혁오 (hyukoh),22
2015,31,2015.07.26,2015.08.01,2,위잉위잉,혁오 (hyukoh),20
2015,52,2015.12.20,2015.12.26,8,심쿵해 (Heart Attack),AOA,Heart Attack
2015,49,2015.11.29,2015.12.05,10,링마벨 (Ring My Bell),걸스데이 (Girl`s Day),Girl`s Day Love Second Album
2015,51,2015.12.13,2015.12.19,9,IF YOU,BIGBANG (빅뱅),D
2015,50,2015.12.06,2015.12.12,12,Oasis (Feat. ZICO),크러쉬 (CRUSH),Oasis
2015,47,2015.11.15,2015.11.21,16,꺼내 먹어요,자이언티(Zion.T),Eat
2015,48,2015.11.22,2015.11.28,19,사랑할수록 (화생방실 클레오파트라),화생방실 클레오파트라,복면가왕 14회
2015,46,2015.11.08,2015.11.14,25,가질 수 없는 너 (화생방실 클레오파트라) (Bonus Track),화생방실 클레오파트라,복면가왕 14회
2015,45,2015.11.01,2015.11.07,29,아끼지마 (Don`t Be Shy) (Feat. 초아 (AOA) & 아이언),프라이머리 (Primary),2-3
2015,44,2015.10.25,2015.10.31,36,이 밤이 지나면 (화생방실 클레오파트라) (Bonus Track),화생방실 클레오파트라,복면가왕 14회
2015,43,2015.10.18,2015.10.24,43,딱 좋아 (Just right),GOT7,Just right
2015,32,2015.08.02,2015.08.08,1,위잉위잉,혁오 (hyukoh),20
2015,30,2015.07.19,2015.07.25,4,와리가리,혁오 (hyukoh),22
2015,31,2015.07.26,2015.08.01,3,예이 (YeY),비스트 (Beast),Ordinary
2015,52,2015.12.20,2015.12.26,9,꺼내 먹어요,자이언티(Zion.T),Eat
2015,49,2015.11.29,2015.12.05,11,심쿵해 (Heart Attack),AOA,Heart Attack
2015,51,2015.12.13,2015.12.19,10,아끼지마 (Don`t Be Shy) (Feat. 초아 (AOA) & 아이언),프라이머리 (Primary),2-3
2015,50,2015.12.06,2015.12.12,13,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),A
2015,47,2015.11.15,2015.11.21,17,AWESOME (feat. 박재범 & Gray),로꼬 (LOCO),AWESOME
2015,48,2015.11.22,2015.11.28,20,Oasis (Feat. ZICO),크러쉬 (CRUSH),Oasis
2015,46,2015.11.08,2015.11.14,26,Bad,인피니트 (Infinite),Reality
2015,45,2015.11.01,2015.11.07,30,나를 슬프게 하는 사람들 (노래왕 퉁키),노래왕 퉁키,복면가왕 16회
2015,44,2015.10.25,2015.10.31,37,큰새,혁오 (hyukoh),22
2015,43,2015.10.18,2015.10.24,44,가져가,비스트 (Beast),Ordinary
2015,32,2015.08.02,2015.08.08,2,양화대교,자이언티(Zion.T),양화대교
2015,30,2015.07.19,2015.07.25,5,Remember,에이핑크 (Apink),Pink MEMORY
2015,31,2015.07.26,2015.08.01,4,와리가리,혁오 (hyukoh),22
2015,52,2015.12.20,2015.12.26,10,아끼지마 (Don`t Be Shy) (Feat. 초아 (AOA) & 아이언),프라이머리 (Primary),2-3
2015,49,2015.11.29,2015.12.05,12,PARTY,소녀시대,PARTY
2015,51,2015.12.13,2015.12.19,11,심쿵해 (Heart Attack),AOA,Heart Attack
2015,50,2015.12.06,2015.12.12,14,일하러 가야 돼,비스트 (Beast),Ordinary
2015,47,2015.11.15,2015.11.21,18,예뻐서 (You`re beautiful),유승우,예뻐서
2015,48,2015.11.22,2015.11.28,21,맨정신,BIGBANG (빅뱅),D
2015,46,2015.11.08,2015.11.14,27,사랑할수록 (화생방실 클레오파트라),화생방실 클레오파트라,복면가왕 14회
2015,45,2015.11.01,2015.11.07,31,만약에 말야 (화생방실 클레오파트라) (Bonus Track),화생방실 클레오파트라,복면가왕 14회
2015,44,2015.10.25,2015.10.31,38,스위트 룸,비스트 (Beast),Ordinary
2015,43,2015.10.18,2015.10.24,45,마일리지 (Mileage) (Feat. 팔로알토 & 화사 of 마마무),프라이머리 (Primary),2-3
2015,33,2015.08.09,2015.08.15,1,우리 사랑하지 말아요,BIGBANG (빅뱅),E
2015,32,2015.08.02,2015.08.08,3,I Feel You,원더걸스 (Wonder Girls),REBOOT
2015,30,2015.07.19,2015.07.25,6,양화대교,자이언티(Zion.T),양화대교
2015,31,2015.07.26,2015.08.01,5,위잉위잉,혁오 (hyukoh),20
2015,52,2015.12.20,2015.12.26,11,예이 (YeY),비스트 (Beast),Ordinary
2015,49,2015.11.29,2015.12.05,13,RESPECT (Feat. 로꼬 & GRAY & DJ Pumkin),"Sik-K (식케이), 릴보이(Lil Boi), 지구인",쇼미더머니 4 Episode 1
2015,51,2015.12.13,2015.12.19,12,My ZONE (Feat. 산이 & 버벌진트),"베이식(Basick), 마이크로닷(Microdot), 블랙넛(Black Nut)",쇼미더머니 4 Episode 2
2015,50,2015.12.06,2015.12.12,15,꺼내 먹어요,자이언티(Zion.T),Eat
2015,47,2015.11.15,2015.11.21,19,오늘부터 우리는 (Me gustas tu),여자친구 (GFRIEND),2nd Mini Album `Flower Bud`
2015,48,2015.11.22,2015.11.28,22,맨정신,BIGBANG (빅뱅),D
2015,46,2015.11.08,2015.11.14,28,Oasis (Feat. ZICO),크러쉬 (CRUSH),Oasis
2015,45,2015.11.01,2015.11.07,32,주마등 (Feat. MI-WOO),리쌍,주마등
2015,44,2015.10.25,2015.10.31,39,Bad,인피니트 (Infinite),Reality
2015,43,2015.10.18,2015.10.24,46,큰새,혁오 (hyukoh),22
2015,33,2015.08.09,2015.08.15,2,쩔어 (GD&T.O.P),BIGBANG (빅뱅),E
2015,34,2015.08.16,2015.08.22,1,우리 사랑하지 말아요,BIGBANG (빅뱅),E
2015,32,2015.08.02,2015.08.08,4,I Feel You,원더걸스 (Wonder Girls),REBOOT
2015,30,2015.07.19,2015.07.25,7,moneyflow (다 비켜봐),"MINO (송민호), 지코 (ZICO), 팔로알토(Paloalto)",쇼미더머니 4 Episode 3
2015,31,2015.07.26,2015.08.01,6,거북선 (Feat. 팔로알토),"자메즈 (Ja Mezz), 앤덥(Andup), MINO (송민호)",쇼미더머니 4 Episode 2
2015,52,2015.12.20,2015.12.26,12,SHAKE IT,씨스타 (Sistar),SHAKE IT
2015,49,2015.11.29,2015.12.05,14,꺼내 먹어요,자이언티(Zion.T),Eat
2015,51,2015.12.13,2015.12.19,13,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),A
2015,50,2015.12.06,2015.12.12,16,심쿵해 (Heart Attack),AOA,Heart Attack
2015,47,2015.11.15,2015.11.21,20,예뻐서 (You`re beautiful),유승우,예뻐서
