year,week_num,start_date,end_date,rank,music,singer,album
2019,43,2019.10.20,2019.10.26,49,열대야 (Fever),여자친구 (GFRIEND),The 7th Mini Album `FEVER SEASON`
2019,41,2019.10.06,2019.10.12,52,대충 입고 나와,우디(Woody),대충 입고 나와
2019,40,2019.09.29,2019.10.05,54,조금 더 외로워지겠지,김나영,검색어를 입력하세요 WWW OST Part 7
2019,39,2019.09.22,2019.09.28,56,Believer,Imagine Dragons,Evolve
2019,51,2019.12.15,2019.12.21,55,헤어질 걸 알아,폴킴,헤어질 걸 알아
2019,52,2019.12.22,2019.12.28,58,U GOT IT,갓츄 (GOT U),PRODUCE X 101 - 31 Boys 5 Concepts
2019,49,2019.12.01,2019.12.07,60,오늘 밤에,홍진영,Lots of Love
2019,50,2019.12.08,2019.12.14,63,UN Village,백현 (BAEKHYUN),City Lights - The 1st Mini Album
2019,48,2019.11.24,2019.11.30,68,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
2019,47,2019.11.17,2019.11.23,73,comethru,Jeremy Zucker,"summer,"
2019,46,2019.11.10,2019.11.16,80,Arabian Nights (2019),Will Smith,Aladdin (Original Motion Picture Soundtrack)
2019,45,2019.11.03,2019.11.09,87,여행,볼빨간사춘기,Red Diary Page.2
2019,31,2019.07.28,2019.08.03,35,달라달라,ITZY (있지),IT`z Different
2019,29,2019.07.14,2019.07.20,37,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
2019,30,2019.07.21,2019.07.27,36,너를 만나,폴킴,너를 만나
2019,37,2019.09.08,2019.09.14,40,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
2019,38,2019.09.15,2019.09.21,39,서울 밤 (Feat. 빈지노),어반 자카파 (Urban Zakapa),서울 밤
2019,35,2019.08.25,2019.08.31,43,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
2019,36,2019.09.01,2019.09.07,42,벌써 12시,청하,벌써 12시
2019,33,2019.08.11,2019.08.17,46,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯
2019,34,2019.08.18,2019.08.24,45,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
2019,44,2019.10.27,2019.11.02,48,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃
2019,42,2019.10.13,2019.10.19,51,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
2019,43,2019.10.20,2019.10.26,50,Kill This Love,BLACKPINK,KILL THIS LOVE
2019,41,2019.10.06,2019.10.12,53,짐살라빔 (Zimzalabim),레드벨벳(Red Velvet),`The ReVe Festival` Day 1
2019,40,2019.09.29,2019.10.05,55,헤어질 걸 알아,폴킴,헤어질 걸 알아
2019,39,2019.09.22,2019.09.28,57,비,폴킴,비
2019,51,2019.12.15,2019.12.21,56,Believer,Imagine Dragons,Evolve
2019,52,2019.12.22,2019.12.28,59,내 안부,이우,내 안부
2019,49,2019.12.01,2019.12.07,61,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,50,2019.12.08,2019.12.14,64,BIRTHDAY,전소미,BIRTHDAY
2019,48,2019.11.24,2019.11.30,69,비오는 날 뭐해,하은 (라코스테남),비오는 날 뭐해
2019,47,2019.11.17,2019.11.23,74,돈 Call Me (Prod. BRLLNT),염따 (YumDDa),Dingo X 염따
2019,46,2019.11.10,2019.11.16,81,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
2019,45,2019.11.03,2019.11.09,88,신용재,하은,신용재
2019,32,2019.08.04,2019.08.10,1,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
2019,31,2019.07.28,2019.08.03,36,괜찮아도 괜찮아 (That`s okay),디오 (D.O.),괜찮아도 괜찮아 (That`s okay) - SM STATION
2019,29,2019.07.14,2019.07.20,38,너를 만나,폴킴,너를 만나
2019,30,2019.07.21,2019.07.27,37,A Whole New World,"Mena Massoud, Naomi Scott",Aladdin (Original Motion Picture Soundtrack)
2019,37,2019.09.08,2019.09.14,41,벌써 12시,청하,벌써 12시
2019,38,2019.09.15,2019.09.21,40,너만 너만 너만,양다일,호텔 델루나 OST Part.4
2019,35,2019.08.25,2019.08.31,44,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
2019,36,2019.09.01,2019.09.07,43,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
2019,33,2019.08.11,2019.08.17,47,서울 밤 (Feat. 빈지노),어반 자카파 (Urban Zakapa),서울 밤
2019,34,2019.08.18,2019.08.24,46,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
2019,44,2019.10.27,2019.11.02,49,Way Back Home,숀 (SHAUN),Take
2019,42,2019.10.13,2019.10.19,52,열대야 (Fever),여자친구 (GFRIEND),The 7th Mini Album `FEVER SEASON`
2019,43,2019.10.20,2019.10.26,51,내 안부,이우,내 안부
2019,41,2019.10.06,2019.10.12,54,Believer,Imagine Dragons,Evolve
2019,40,2019.09.29,2019.10.05,56,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃
2019,39,2019.09.22,2019.09.28,58,대충 입고 나와,우디(Woody),대충 입고 나와
2019,51,2019.12.15,2019.12.21,57,Dance The Night Away,TWICE,Summer Nights
2019,52,2019.12.22,2019.12.28,60,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,49,2019.12.01,2019.12.07,62,봄날,방탄소년단,YOU NEVER WALK ALONE
2019,50,2019.12.08,2019.12.14,65,뭐해 (What are you up to),강다니엘,color on me
2019,48,2019.11.24,2019.11.30,70,Uh-Oh,(여자)아이들,Uh-Oh
2019,47,2019.11.17,2019.11.23,75,비오는 날 뭐해,하은 (라코스테남),비오는 날 뭐해
2019,46,2019.11.10,2019.11.16,82,교통정리 (Feat. 헤이즈),기리보이(Giriboy),교통정리
2019,45,2019.11.03,2019.11.09,89,"파티피플 (Feat. 염따, Uneducated Kid)",기리보이(Giriboy),갑분기
2019,32,2019.08.04,2019.08.10,2,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3
2019,31,2019.07.28,2019.08.03,37,A Whole New World,"Mena Massoud, Naomi Scott",Aladdin (Original Motion Picture Soundtrack)
2019,29,2019.07.14,2019.07.20,39,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
2019,30,2019.07.21,2019.07.27,38,너를 만나,폴킴,너를 만나
2019,37,2019.09.08,2019.09.14,42,Goodbye,박효신,Goodbye
2019,38,2019.09.15,2019.09.21,41,벌써 12시,청하,벌써 12시
2019,35,2019.08.25,2019.08.31,45,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,36,2019.09.01,2019.09.07,44,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
2019,33,2019.08.11,2019.08.17,48,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
2019,34,2019.08.18,2019.08.24,47,서울 밤 (Feat. 빈지노),어반 자카파 (Urban Zakapa),서울 밤
2019,44,2019.10.27,2019.11.02,50,BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),OH MY GIRL SUMMER PACKAGE (FALL IN LOVE)
2019,42,2019.10.13,2019.10.19,53,Kill This Love,BLACKPINK,KILL THIS LOVE
2019,43,2019.10.20,2019.10.26,52,열대야 (Fever),여자친구 (GFRIEND),The 7th Mini Album `FEVER SEASON`
2019,41,2019.10.06,2019.10.12,55,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
2019,40,2019.09.29,2019.10.05,57,Dance The Night Away,TWICE,Summer Nights
2019,39,2019.09.22,2019.09.28,59,짐살라빔 (Zimzalabim),레드벨벳(Red Velvet),`The ReVe Festival` Day 1
2019,51,2019.12.15,2019.12.21,58,대충 입고 나와,우디(Woody),대충 입고 나와
2019,52,2019.12.22,2019.12.28,61,오늘 밤에,홍진영,Lots of Love
2019,49,2019.12.01,2019.12.07,63,비,폴킴,비
2019,50,2019.12.08,2019.12.14,66,UN Village,백현 (BAEKHYUN),City Lights - The 1st Mini Album
2019,48,2019.11.24,2019.11.30,71,I Don`t Care,"Ed Sheeran, Justin Bieber",I Don`t Care
2019,47,2019.11.17,2019.11.23,76,AH YEAH (아예),위너(WINNER),WE
2019,46,2019.11.10,2019.11.16,83,당신과는 천천히,장범준,장범준 3집
2019,45,2019.11.03,2019.11.09,90,Prince Ali,Will Smith,Aladdin (Original Motion Picture Soundtrack)
2019,32,2019.08.04,2019.08.10,3,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
2019,31,2019.07.28,2019.08.03,38,너를 만나,폴킴,너를 만나
2019,29,2019.07.14,2019.07.20,40,너만 너만 너만,양다일,호텔 델루나 OST Part.4
2019,30,2019.07.21,2019.07.27,39,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
