year,week_num,start_date,end_date,rank,music,singer,album
2021,15,2021.04.04,2021.04.10,55,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2021,13,2021.03.21,2021.03.27,62,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
2021,11,2021.03.07,2021.03.13,68,Memories,Maroon 5,Memories
2021,10,2021.02.28,2021.03.06,73,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
2021,09,2021.02.21,2021.02.27,80,사실 나는 (Feat.전건호),경서예지,사실 나는
2021,08,2021.02.14,2021.02.20,86,너를 만나,폴킴,너를 만나
2021,07,2021.02.07,2021.02.13,93,When We Disco (Duet with 선미),박진영,When We Disco
2021,06,2021.01.31,2021.02.06,100,Maniac,Conan Gray,Maniac
2021,25,2021.06.13,2021.06.19,31,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
2021,27,2021.06.27,2021.07.03,27,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2
2021,26,2021.06.20,2021.06.26,30,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
2021,24,2021.06.06,2021.06.12,33,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix)
2021,23,2021.05.30,2021.06.05,36,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
2021,22,2021.05.23,2021.05.29,38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2021,21,2021.05.16,2021.05.22,40,Coin,아이유 (IU),5th Album `LILAC`
2021,20,2021.05.09,2021.05.15,43,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST
2021,19,2021.05.02,2021.05.08,45,추적이는 여름 비가 되어,장범준,장범준 싱글
2021,18,2021.04.25,2021.05.01,47,Off My Face,Justin Bieber,Justice
2021,12,2021.03.14,2021.03.20,61,내사람,SG 워너비,The Precious History
2021,17,2021.04.18,2021.04.24,50,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
2021,14,2021.03.28,2021.04.03,54,2002,Anne-Marie,Speak Your Mind (Deluxe)
2021,16,2021.04.11,2021.04.17,54,2002,Anne-Marie,Speak Your Mind (Deluxe)
2021,15,2021.04.04,2021.04.10,56,아로하,조정석,슬기로운 의사생활 OST Part 3
2021,13,2021.03.21,2021.03.27,63,그냥 안아달란 말야,다비치,그냥 안아달란 말야
2021,11,2021.03.07,2021.03.13,69,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10cm,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST
2021,10,2021.02.28,2021.03.06,74,살다가,SG 워너비,살다가
2021,09,2021.02.21,2021.02.27,81,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)) OST
2021,08,2021.02.14,2021.02.20,87,Dance Monkey,Tones And I,Dance Monkey
2021,07,2021.02.07,2021.02.13,94,Don`t Start Now,Dua Lipa,Don`t Start Now
2021,25,2021.06.13,2021.06.19,32,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,27,2021.06.27,2021.07.03,28,라라라,SG 워너비,My Friend
2021,26,2021.06.20,2021.06.26,31,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
2021,24,2021.06.06,2021.06.12,34,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST"
2021,23,2021.05.30,2021.06.05,37,잠이 오질 않네요,장범준,잠이 오질 않네요
2021,22,2021.05.23,2021.05.29,39,해야 해,2PM,MUST
2021,21,2021.05.16,2021.05.22,41,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)",MSG워너비 TOP 8 경연곡
2021,20,2021.05.09,2021.05.15,44,Blueming,아이유 (IU),Love poem
2021,19,2021.05.02,2021.05.08,46,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
2021,18,2021.04.25,2021.05.01,48,어푸 (Ah puh),아이유 (IU),5th Album 'LILAC'
2021,12,2021.03.14,2021.03.20,62,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
2021,17,2021.04.18,2021.04.24,51,허리춤,오반 (OVAN),허리춤
2021,14,2021.03.28,2021.04.03,55,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2021,16,2021.04.11,2021.04.17,55,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2021,15,2021.04.04,2021.04.10,57,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1
2021,13,2021.03.21,2021.03.27,64,METEOR,창모 (CHANGMO),Boyhood
2021,11,2021.03.07,2021.03.13,70,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
2021,10,2021.02.28,2021.03.06,75,Love poem,아이유 (IU),Love poem
2021,09,2021.02.21,2021.02.27,82,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
2021,08,2021.02.14,2021.02.20,88,아이와 나의 바다,아이유 (IU),5th Album `LILAC`
2021,07,2021.02.07,2021.02.13,95,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
2021,25,2021.06.13,2021.06.19,33,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix)
2021,27,2021.06.27,2021.07.03,29,마.피.아. In the morning,ITZY (있지),GUESS WHO
2021,26,2021.06.20,2021.06.26,32,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,24,2021.06.06,2021.06.12,35,Lovesick Girls,BLACKPINK,THE ALBUM
2021,23,2021.05.30,2021.06.05,38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2021,22,2021.05.23,2021.05.29,40,Coin,아이유 (IU),5th Album `LILAC`
