,year,week_num,start_date,end_date,rank,music,singer,album
140,2019,52,2019.12.22,2019.12.28,141,우연인 듯 운명,10cm,사랑의 불시착 OST Part 1
141,2019,52,2019.12.22,2019.12.28,142,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
142,2019,52,2019.12.22,2019.12.28,143,Rest,백예린,Every letter I sent you.
143,2019,52,2019.12.22,2019.12.28,144,맵고짜고단거 (Feat. 페노메코),다이나믹 듀오 (Dynamic Duo),OFF DUTY
144,2019,52,2019.12.22,2019.12.28,145,"thank u, next",Ariana Grande,"thank u, next"
145,2019,52,2019.12.22,2019.12.28,146,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
146,2019,52,2019.12.22,2019.12.28,147,벌써 12시,청하,벌써 12시
147,2019,52,2019.12.22,2019.12.28,148,뭍 (陸),육성재,3X2=6 Part 1
148,2019,52,2019.12.22,2019.12.28,149,Lost in the Woods,Jonathan Groff,Frozen 2 (겨울왕국 2 OST)
149,2019,52,2019.12.22,2019.12.28,150,Shape of You,Ed Sheeran,÷ (Deluxe)
150,2019,52,2019.12.22,2019.12.28,151,Like It`s Christmas,Jonas Brothers,Like It`s Christmas
151,2019,52,2019.12.22,2019.12.28,152,Goodbye,박효신,Goodbye
152,2019,52,2019.12.22,2019.12.28,153,Into the Unknown (Panic! At The Disco Ver.),Panic! At The Disco,Frozen 2 (겨울왕국 2 OST)
153,2019,52,2019.12.22,2019.12.28,154,호랑이소굴 (Feat. Jvcki Wai),기리보이(Giriboy),호랑이소굴
154,2019,52,2019.12.22,2019.12.28,155,12월의 기적 (Miracles in December),EXO,겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`
155,2019,52,2019.12.22,2019.12.28,156,Attention,Charlie Puth,Voicenotes
156,2019,52,2019.12.22,2019.12.28,157,초록빛,폴킴,초록빛
157,2019,52,2019.12.22,2019.12.28,158,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
158,2019,52,2019.12.22,2019.12.28,159,Youth,Troye Sivan,Blue Neighbourhood (Deluxe)
159,2019,52,2019.12.22,2019.12.28,160,그저 바라본다,에일리 (Ailee),초콜릿 OST Part.5
160,2019,52,2019.12.22,2019.12.28,161,다시 찾아온 12월 이야기,하성운,다시 찾아온 12월 이야기
161,2019,52,2019.12.22,2019.12.28,162,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way OST
162,2019,52,2019.12.22,2019.12.28,163,지나오다,닐로 (Nilo),About You
163,2019,52,2019.12.22,2019.12.28,164,삐삐,아이유 (IU),삐삐
164,2019,52,2019.12.22,2019.12.28,165,사람,지코 (ZICO),THINKING Part 1
165,2019,52,2019.12.22,2019.12.28,166,The Next Right Thing,Kristen Bell,Frozen 2 (겨울왕국 2 OST)
166,2019,52,2019.12.22,2019.12.28,167,HERE (For Christmas),Lukas Graham,HERE (For Christmas)
167,2019,52,2019.12.22,2019.12.28,168,I Don`t Care,"Ed Sheeran, Justin Bieber",I Don`t Care
168,2019,52,2019.12.22,2019.12.28,169,그건 아마 우리의 잘못은 아닐 거야,백예린,Our love is great
169,2019,52,2019.12.22,2019.12.28,170,FRIENDS,"Marshmello, Anne-Marie",Speak Your Mind (Deluxe)
170,2019,52,2019.12.22,2019.12.28,171,Lose You To Love Me,Selena Gomez,Lose You To Love Me
171,2019,52,2019.12.22,2019.12.28,172,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)","스윙스(Swings), Kid Milli, 매드 클라운",쇼미더머니 8 Episode 1
172,2019,52,2019.12.22,2019.12.28,173,눈사람,정승환,눈사람
173,2019,52,2019.12.22,2019.12.28,174,Bunny,백예린,Every letter I sent you.
174,2019,52,2019.12.22,2019.12.28,175,날라리 (LALALAY),선미,날라리 (LALALAY)
175,2019,52,2019.12.22,2019.12.28,176,A Whole New World,"Mena Massoud, Naomi Scott",Aladdin (Original Motion Picture Soundtrack)
176,2019,52,2019.12.22,2019.12.28,177,여행,볼빨간사춘기,Red Diary Page.2
177,2019,52,2019.12.22,2019.12.28,178,Talk,"Khalid, Disclosure",Talk
178,2019,52,2019.12.22,2019.12.28,179,EX,Kiana Lede,Selfless
179,2019,52,2019.12.22,2019.12.28,180,7 rings,Ariana Grande,7 rings
180,2019,52,2019.12.22,2019.12.28,181,가라사대,비와이(BewhY),The Movie Star
181,2019,52,2019.12.22,2019.12.28,182,Bring Me Love,John Legend,A Legendary Christmas
182,2019,52,2019.12.22,2019.12.28,183,선물,멜로망스(Melomance),Moonlight
183,2019,52,2019.12.22,2019.12.28,184,Circles,Post Malone,Hollywood`s Bleeding
184,2019,52,2019.12.22,2019.12.28,185,사랑의 재개발,유산슬,뽕포유
185,2019,52,2019.12.22,2019.12.28,186,It`s Beginning To Look A Lot Like Christmas,Michael Buble,Christmas
186,2019,52,2019.12.22,2019.12.28,187,이별하러 가는 길,임한별,이별하러 가는 길
187,2019,52,2019.12.22,2019.12.28,188,One Call Away,Charlie Puth,Nine Track Mind (Deluxe)
188,2019,52,2019.12.22,2019.12.28,189,"All Falls Down (Feat. Noah Cyrus, Digital Farm Animals)",Alan Walker,Different World
189,2019,52,2019.12.22,2019.12.28,190,Painkiller,Ruel,Painkiller
190,2019,52,2019.12.22,2019.12.28,191,YES or YES,TWICE,YES or YES
191,2019,52,2019.12.22,2019.12.28,192,Closer (Feat. Halsey),The Chainsmokers,Collage
192,2019,52,2019.12.22,2019.12.28,193,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),닿는 순간
193,2019,52,2019.12.22,2019.12.28,194,겨울 고백,"성시경, 박효신, 서인국, 빅스 (VIXX), 여동생",Jelly Christmas 2013
194,2019,52,2019.12.22,2019.12.28,195,Kill This Love,BLACKPINK,KILL THIS LOVE
195,2019,52,2019.12.22,2019.12.28,196,아름다워,창모 (CHANGMO),돈 벌 시간 2
196,2019,52,2019.12.22,2019.12.28,197,Another Day,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",호텔 델루나 OST Part.1
197,2019,52,2019.12.22,2019.12.28,198,FLOWER SHOWER,현아 (HyunA),FLOWER SHOWER
198,2019,52,2019.12.22,2019.12.28,199,나빠(NAPPA),크러쉬 (CRUSH),나빠(NAPPA)
199,2019,52,2019.12.22,2019.12.28,200,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4
