album,end_date,music,rank,singer,start_date,week_num,year
I am A Dreamer,2016.09.24,Wonderland,28,박효신,2016.09.18,39,2016
네 생각,2016.10.01,네 생각,26,존 박,2016.09.25,40,2016
스틸,2016.10.08,널 사랑하지 않아,25,어반 자카파 (Urban Zakapa),2016.10.02,41,2016
Purpose (Deluxe Edition),2016.03.05,Love Yourself,96,Justin Bieber,2016.02.28,10,2016
응답하라 1988 OST Part 2,2016.03.12,걱정말아요 그대,93,이적,2016.03.06,11,2016
The MOBB,2016.03.19,몸,90,MINO (송민호),2016.03.13,12,2016
또 오해영 OST Part 2,2016.03.26,꿈처럼,87,벤 (Ben),2016.03.20,13,2016
1 of 1 - The 5th Album,2016.04.02,U Need Me,85,샤이니 (SHINee),2016.03.27,14,2016
Bye bye my blue,2016.04.09,Bye bye my blue,82,백예린,2016.04.03,15,2016
The MOBB,2016.04.16,꽐라,79,바비 (BOBBY),2016.04.10,16,2016
1 of 1 - The 5th Album,2016.05.14,SHIFT,77,샤이니 (SHINee),2016.05.08,20,2016
Half Album RED ICKLE,2016.05.21,심술,74,볼빨간사춘기,2016.05.15,21,2016
달의 연인 - 보보경심 려 OST Part 2,2016.05.28,Say Yes,71,"로꼬 (LOCO), 펀치(Punch)",2016.05.22,22,2016
1 of 1 - The 5th Album,2016.06.04,Feel Good,69,샤이니 (SHINee),2016.05.29,23,2016
여름밤에 우린,2016.06.11,여름밤에 우린,66,스탠딩 에그(Standing Egg),2016.06.05,24,2016
pathos,2016.06.18,어디에도,63,엠씨더맥스 (M.C The Max),2016.06.12,25,2016
I am A Dreamer,2016.06.25,야생화,61,박효신,2016.06.19,26,2016
웃긴 밤,2016.07.02,끝,58,권진아,2016.06.26,27,2016
또 다시 사랑,2016.07.09,또 다시 사랑,55,임창정,2016.07.03,28,2016
Why So Lonely,2016.07.16,Why So Lonely,53,원더걸스 (Wonder girls),2016.07.10,29,2016
