year,week_num,start_date,end_date,rank,music,singer,album
2019,36,2019.09.01,2019.09.07,24,Senorita,"Shawn Mendes, Camila Cabello",Senorita
2019,35,2019.08.25,2019.08.31,30,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),THINKING Part 1
2019,34,2019.08.18,2019.08.24,37,BAND,"창모, Hash Swan, ASH ISLAND, 김효은",BAND
2019,33,2019.08.11,2019.08.17,43,벗,닐로 (Nilo),벗
2019,32,2019.08.04,2019.08.10,50,노래방에서,장범준,장범준 3집
2019,31,2019.07.28,2019.08.03,57,Snapping,청하,Flourishing
2019,30,2019.07.21,2019.07.27,64,Another Day,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",호텔 델루나 OST Part.1
2019,28,2019.07.07,2019.07.13,82,We don`t talk together (Feat. 기리보이) (Prod. SUGA),헤이즈 (Heize),We don`t talk together
2019,29,2019.07.14,2019.07.20,74,뱃노래,AKMU (악뮤),항해
2019,42,2019.10.13,2019.10.19,4,새 사랑,송하예,새 사랑
2019,40,2019.09.29,2019.10.05,11,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
2019,41,2019.10.06,2019.10.12,7,워커홀릭,볼빨간사춘기,Two Five
2019,39,2019.09.22,2019.09.28,13,니 소식,송하예,니 소식
2019,37,2019.09.08,2019.09.14,18,2002,Anne-Marie,Speak Your Mind (Deluxe)
2019,38,2019.09.15,2019.09.21,18,2002,Anne-Marie,Speak Your Mind (Deluxe)
2019,36,2019.09.01,2019.09.07,25,가끔 이러다,펀치 (Punch),가끔 이러다
2019,35,2019.08.25,2019.08.31,31,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
2019,34,2019.08.18,2019.08.24,38,내 목소리 들리니,벤 (Ben),호텔 델루나 OST Part.9
2019,33,2019.08.11,2019.08.17,44,다시 만날까 봐,V.O.S,다시 만날까 봐
2019,32,2019.08.04,2019.08.10,51,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
2019,31,2019.07.28,2019.08.03,58,나빠(NAPPA),크러쉬 (CRUSH),나빠(NAPPA)
2019,30,2019.07.21,2019.07.27,65,비,폴킴,비
2019,28,2019.07.07,2019.07.13,83,SUPER Clap,슈퍼주니어 (Super Junior),Time_Slip - The 9th Album
2019,29,2019.07.14,2019.07.20,75,나만 아픈 일,이해리,나만 아픈 일
2019,43,2019.10.20,2019.10.26,1,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2019,42,2019.10.13,2019.10.19,5,있어줘요,장덕철,있어줘요
2019,40,2019.09.29,2019.10.05,12,허전해,폴킴,"정규 2집 `마음, 하나`"
2019,41,2019.10.06,2019.10.12,8,떨어지는 낙엽까지도,헤이즈 (Heize),만추
2019,39,2019.09.22,2019.09.28,14,가을밤 떠난 너,케이시 (Kassy),Rewind
2019,37,2019.09.08,2019.09.14,19,Senorita,"Shawn Mendes, Camila Cabello",Senorita
2019,38,2019.09.15,2019.09.21,19,Senorita,"Shawn Mendes, Camila Cabello",Senorita
2019,36,2019.09.01,2019.09.07,26,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
2019,35,2019.08.25,2019.08.31,32,헤어져줘서 고마워,벤 (Ben),헤어져줘서 고마워
2019,34,2019.08.18,2019.08.24,39,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
2019,33,2019.08.11,2019.08.17,45,그때가 좋았어,케이시 (Kassy),그때가 좋았어
2019,32,2019.08.04,2019.08.10,52,달,AKMU (악뮤),항해
2019,31,2019.07.28,2019.08.03,59,정말 헤어지는 거야 (With 죠지),린 (LYn),정말 헤어지는 거야 (With 죠지)
2019,30,2019.07.21,2019.07.27,66,비,폴킴,비
2019,28,2019.07.07,2019.07.13,84,물 만난 물고기,AKMU (악뮤),항해
2019,29,2019.07.14,2019.07.20,76,SOSO,위너(WINNER),CROSS
