album,end_date,music,rank,singer,start_date,week_num,year
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.25,사건의 지평선,4,윤하,2023.03.19,4,2023
ANTIFRAGILE,2023.03.18,ANTIFRAGILE,5,LE SSERAFIM (르세라핌),2023.03.12,4,2023
VIBE,2023.03.11,VIBE (feat. Jimin of BTS),6,태양,2023.03.05,4,2023
NewJeans 1st EP `New Jeans`,2023.03.04,Attention,7,NewJeans,2023.02.26,4,2023
Candy - Winter Special Mini Album,2023.02.25,Candy,8,NCT DREAM,2023.02.19,4,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,3,2023
쇼미더머니 11 Episode 3,2023.02.18,NOT SORRY (Feat. pH-1) (Prod. by Slom),9,이영지,2023.02.12,4,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,3,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.01,사건의 지평선,3,윤하,2023.03.26,3,2023
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,3,2023
VIBE,2023.03.18,VIBE (feat. Jimin of BTS),5,태양,2023.03.12,3,2023
ANTIFRAGILE,2023.03.11,ANTIFRAGILE,6,LE SSERAFIM (르세라핌),2023.03.05,3,2023
Candy - Winter Special Mini Album,2023.03.04,Candy,7,NCT DREAM,2023.02.26,3,2023
NewJeans 1st EP `New Jeans`,2023.02.25,Attention,8,NewJeans,2023.02.19,3,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,2,2023
After LIKE,2023.02.18,After LIKE,9,IVE (아이브),2023.02.12,3,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,2,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,1,2023
NewJeans `OMG`,2023.04.01,OMG,3,NewJeans,2023.03.26,2,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.08,사건의 지평선,2,윤하,2023.04.02,1,2023
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,2,2023
NewJeans `OMG`,2023.04.01,OMG,3,NewJeans,2023.03.26,1,2023
쇼미더머니 11 Episode 3,2023.03.18,NOT SORRY (Feat. pH-1) (Prod. by Slom),5,이영지,2023.03.12,2,2023
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,1,2023
Candy - Winter Special Mini Album,2023.03.11,Candy,6,NCT DREAM,2023.03.05,2,2023
쇼미더머니 11 Episode 3,2023.03.18,NOT SORRY (Feat. pH-1) (Prod. by Slom),5,이영지,2023.03.12,1,2023
ANTIFRAGILE,2023.03.04,ANTIFRAGILE,7,LE SSERAFIM (르세라핌),2023.02.26,2,2023
Candy - Winter Special Mini Album,2023.03.11,Candy,6,NCT DREAM,2023.03.05,1,2023
After LIKE,2023.02.25,After LIKE,8,IVE (아이브),2023.02.19,2,2023
ANTIFRAGILE,2023.03.04,ANTIFRAGILE,7,LE SSERAFIM (르세라핌),2023.02.26,1,2023
NewJeans 1st EP `New Jeans`,2023.02.18,Attention,9,NewJeans,2023.02.12,2,2023
After LIKE,2023.02.25,After LIKE,8,IVE (아이브),2023.02.19,1,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,53,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.08,사건의 지평선,2,윤하,2023.04.02,53,2022
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,53,2022
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,52,2022
쇼미더머니 11 Episode 3,2023.03.25,NOT SORRY (Feat. pH-1) (Prod. by Slom),4,이영지,2023.03.19,53,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.08,사건의 지평선,2,윤하,2023.04.02,52,2022
NewJeans 1st EP `New Jeans`,2023.03.18,Hype boy,5,NewJeans,2023.03.12,53,2022
Candy - Winter Special Mini Album,2023.04.01,Candy,3,NCT DREAM,2023.03.26,52,2022
ANTIFRAGILE,2023.03.11,ANTIFRAGILE,6,LE SSERAFIM (르세라핌),2023.03.05,53,2022
쇼미더머니 11 Episode 3,2023.03.25,NOT SORRY (Feat. pH-1) (Prod. by Slom),4,이영지,2023.03.19,52,2022
Merry Christmas (Deluxe Anniversary Edition),2023.03.04,All I Want For Christmas Is You,7,Mariah Carey,2023.02.26,53,2022
NewJeans 1st EP `New Jeans`,2023.03.18,Hype boy,5,NewJeans,2023.03.12,52,2022
After LIKE,2023.02.25,After LIKE,8,IVE (아이브),2023.02.19,53,2022
ANTIFRAGILE,2023.03.11,ANTIFRAGILE,6,LE SSERAFIM (르세라핌),2023.03.05,52,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.15,사건의 지평선,1,윤하,2023.04.09,51,2022
NewJeans 1st EP `New Jeans`,2023.02.18,Attention,9,NewJeans,2023.02.12,53,2022
Candy - Winter Special Mini Album,2023.03.04,Candy,7,NCT DREAM,2023.02.26,52,2022
