Title/Artist/Album,Score,Production/Distribution,Play,,,
125,76,"

겨울 고백
성시경, 박효신, 서인국, 빅스 (VIXX), 여동생 | Jelly Christmas 2013","2,992,040","젤리피쉬 엔터테인먼트
Kakao Entertainment",,
126,new,"

선물을 고르며
자이언티(Zion.T) | 선물을 고르며","2,957,458","The Black Label
YG PLUS",,
127,42,"

Merry Christmas
Ed Sheeran, Elton John | Merry Christmas","2,930,653","Atlantic Records UK
Warner Music",,
128,13,"

Timeless
SG 워너비 | SG Wanna Be+","2,930,590","Stone Music Entertainment
지니뮤직",,
129,12,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","2,920,503","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
130,9,"

Love poem
아이유 (IU) | Love poem","2,891,437","Kakao Entertainment
Kakao Entertainment",,
131,20,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","2,882,816","BORN
Kakao Entertainment",,
132,88,"

It`s Beginning To Look A Lot Like Christmas
Michael Buble | Christmas","2,880,665","Warner Music
Warner Music",,
133,84,"

You Deserve It All
John Legend | You Deserve It All","2,880,451","Republic Records
Universal Music",,
134,15,"

밤편지
아이유 (IU) | 밤편지","2,879,037","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
135,73,"

Bring Me Love
John Legend | A Legendary Christmas","2,872,948","Columbia
Sony Music",,
136,71,"

화이트 (WHITE) (Feat. 박재범)
다비치 | D-MAKE","2,829,254","Stone Music Entertainment, B2M Entertainment
지니뮤직",,
137,12,"

별 (Dear)
정승환 | 별","2,826,131","안테나뮤직
Kakao Entertainment",,
138,11,"

Bk Love
임영웅 | 뽕숭아학당 PART23","2,824,387","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
139,new,"

08베이식 REMIX (Feat. 365LIT, CHANGMO, CROWN J, DON MILLS, LAYONE, lIlBOI, MYUNDO, PAUL BLANCO, SAN E, SWINGS, SKINNY BROWN, VERBAL JINT, YUMDDA)
베이식(Basick) | 08베이식 REMIX","2,780,825","Daytona Entertainment
지니뮤직, Stone Music Entertainment",,
140,55,"

가리온 (Feat. 다이나믹 듀오) (Prod. Primary)
조광일 | 쇼미더머니 10 Final","2,752,750","Stone Music Entertainment
지니뮤직",,
141,8,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","2,727,510","씨제스엔터테인먼트
Kakao Entertainment",,
142,2,"

Black Mamba
aespa | Black Mamba","2,714,708","SM Entertainment
Dreamus",,
143,33,"

어제 너는 나를 버렸어
10cm | The 3rd EP","2,698,864","매직스트로베리사운드
Kakao Entertainment",,
144,new,"

Heartbreak
민호 (MINHO) | Heartbreak","2,698,487","SM Entertainment
Dreamus",,
145,22,"

색안경 (STEREOTYPE)
STAYC(스테이씨) | STEREOTYPE","2,671,169","하이업엔터테인먼트
Kakao Entertainment",,
146,20,"

LOCO
ITZY (있지) | CRAZY IN LOVE","2,639,662","JYP Entertainment
Dreamus",,
147,new,"

네가 불어오는 이곳에서 난 여전히
XIA(준수) | 옷소매 붉은 끝동 OST Part.7","2,578,283","TOON STUDIO
Kakao Entertainment",,
148,16,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","2,571,939","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
149,3,"

첫눈처럼 너에게 가겠다
에일리 (Ailee) | 도깨비 OST Part 9","2,571,045","Stone Music Entertainment, 화앤담픽쳐스
지니뮤직, Stone Music Entertainment",,
150,16,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","2,537,745","EDAM엔터테인먼트
Kakao Entertainment",,
151,13,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","2,537,298","시애틀뮤직
Warner Music",,
152,30,"

기다리다
윤하 | Audition (Time2Rock)","2,530,410","스카이뮤직
NHN벅스",,
153,new,"

눈꽃
지아 (Zia) | 눈꽃 (The Last MAKE:UP)","2,524,565","플렉스엠
Kakao Entertainment",,
154,90,"

Merry & Happy
TWICE | Merry & Happy","2,494,655","JYP Entertainment
Dreamus",,
155,31,"

XOXO
전소미 | XOXO","2,494,305","The Black Label
YG PLUS",,
156,new,"

12월 그날
케이윌 (K.Will) | 12월 그날","2,491,537","스타쉽엔터테인먼트
Kakao Entertainment",,
157,27,"

가을 타나 봐
이무진 | 가을 타나 봐 (REVIBE Vol.4)","2,491,259","메이저나인
지니뮤직",,
158,38,"

Rock with you
세븐틴 | SEVENTEEN 9th Mini Album `Attacca`","2,461,135","플레디스
YG PLUS",,
159,62,"

바래 (Feat. 정인) (Prod. TOIL)
쿤타 (Koonta) | 쇼미더머니 10 Semi Final","2,460,425","Stone Music Entertainment
지니뮤직",,
160,new,"

내게 오는 길
성시경 | 1집 처음처럼","2,452,863","Stone Music Entertainment
지니뮤직",,
161,4,"

다음 겨울에도 여기서 만나
유희열, 유재석, 정재형, 루시드폴, 페퍼톤스 (Peppertones), 박새별, 샘김 (Sam Kim), 이진아, 권진아, 정승환, 윤석철, 적재, 이미주, 서동환 | 2021 Antenna Christmas Carol","2,448,034","안테나뮤직
Kakao Entertainment",,
162,72,"

홀로 크리스마스
에일리 (Ailee), 휘인 (Whee In) | 홀로 크리스마스","2,441,281","더라이브레이블
Warner Music",,
163,21,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","2,439,401","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
164,23,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","2,437,902","Virgin EMI
Universal Music",,
165,95,"

Santa, Can`t You Hear Me
Kelly Clarkson, Ariana Grande | When Christmas Comes Around...","2,413,286","Atlantic Records UK
Warner Music",,
166,68,"

SIGN (Feat. 미란이) (Prod. 코드 쿤스트)
SINCE | 쇼미더머니 10 Final","2,390,551","Stone Music Entertainment
지니뮤직",,
167,HOT,"

Santa Claus Is Comin` to Town
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","2,375,541","Columbia/Legacy
Sony Music",,
168,18,"

Memories
Maroon 5 | Memories","2,374,088","222 Records/Interscope Records
Universal Music",,
169,55,"

가시 (Prod. 코드 쿤스트)
조광일, 개코, 저스디스 (JUSTHIS) | 쇼미더머니 10 Episode 2","2,354,069","Stone Music Entertainment
지니뮤직",,
170,18,"

너를 만나
폴킴 | 너를 만나","2,328,775","뉴런뮤직
Kakao Entertainment",,
171,59,"

come out and play
Billie Eilish | come out and play","2,318,406","Darkroom, Interscope Records
Universal Music",,
172,23,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","2,302,232","브레이브 엔터테인먼트
Kakao Entertainment",,
173,new,"

두 사람
성시경 | 4집 다시 꿈꾸고 싶다","2,296,451","뮤투 엔터테인먼트
예전미디어",,
174,18,"

Heaven
김현성 | Soulmate","2,293,606","도레미 미디어
오감엔터테인먼트",,
175,27,"

abcdefu
GAYLE | abcdefu","2,292,985","Atlantic, Arthouse Records
Warner Music",,
176,39,"

Easy On Me
Adele | Easy On Me","2,282,692","Columbia
Sony Music",,
177,18,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","2,267,085","Stone Music Entertainment
지니뮤직",,
178,new,"

Shark
오마이걸 (OH MY GIRL) | Shark","2,264,807","클렙
Warner Music",,
179,61,"

BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)
sokodomo | 쇼미더머니 10 Semi Final","2,256,193","Stone Music Entertainment
지니뮤직",,
180,73,"

지나고 보면 (Feat. 화사 & MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Final","2,244,703","Stone Music Entertainment
지니뮤직",,
181,27,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","2,236,349","TOON STUDIO, 느을
Kakao Entertainment",,
182,81,"

HERE (For Christmas)
Lukas Graham | HERE (For Christmas)","2,234,114","Warner Records
Warner Music",,
