Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
81,1,"

METEOR
창모 (CHANGMO) | Boyhood","5,641,821","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
82,51,"

Sticker
NCT 127 | Sticker - The 3rd Album","5,568,930","SM Entertainment
Dreamus",,
83,2,"

전화 한 번 못하니
신예영 | 전화 한 번 못하니 (너에게 하고 싶은 말 X 신예영)","5,566,494","프로젝트 리본
Warner Music",,
84,1,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","5,541,039","TOON STUDIO, 느을
Kakao Entertainment",,
85,9,"

여전히 아름다운지
세븐틴 | 슬기로운 의사생활 시즌2 OST Part 8","5,221,884","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
86,1,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","5,178,398","시애틀뮤직
Warner Music",,
87,1,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","5,057,538","Virgin EMI
Universal Music",,
88,1,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","5,044,365","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
89,5,"

너 하나야 (낮에 뜨는 달 X 길구봉구)
길구봉구 | 너 하나야 (낮에 뜨는 달 X 길구봉구) OST","4,916,119","TOON STUDIO
Kakao Entertainment",,
90,new,"

너의 모습
정동하 | 너의 모습","4,901,736","뮤직원 컴퍼니
Kakao Entertainment",,
91,33,"

잊었니
임영웅 | 사랑의 콜센타 PART60","4,761,497","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
92,new,"

찬란한 계절
폴킴 | 찬란한 계절","4,626,667","뉴런뮤직
Kakao Entertainment",,
93,57,"

고백
어반 자카파 (Urban Zakapa) | 네 번째 `고백`","4,558,144","Kakao Entertainment, 어비스컴퍼니
Kakao Entertainment",,
94,45,"

The Feels
TWICE | The Feels","4,544,348","JYP Entertainment
Dreamus",,
95,5,"

Memories
Maroon 5 | Memories","4,522,636","222 Records/Interscope Records
Universal Music",,
96,8,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","4,373,309","TOON STUDIO, 느을
Kakao Entertainment",,
97,1,"

별빛 같은 나의 사랑아
임영웅 | 별빛 같은 나의 사랑아","4,287,060","티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
Kakao Entertainment",,
98,5,"

가까운 듯 먼 그대여
카더가든 | 가까운 듯 먼 그대여","4,231,920","니즈뮤직
NHN벅스",,
99,-,"

그대라는 사치
임영웅 | 사랑의 콜센타 PART62","3,923,519","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
100,25,"

Butterfly
전미도 | 슬기로운 의사생활 시즌2 OST Part 12","3,916,616","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
101,6,"

상상더하기
MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein)) | MSG워너비 TOP 8 경연곡","3,892,116","유야호
지니뮤직, Stone Music Entertainment",,
102,3,"

다시 사랑한다면 (김필 Ver.)
임영웅 | 사랑의 콜센타 PART56","3,808,846","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
103,6,"

고백
장범준 | 첫 번째 `고백`","3,789,211","Kakao Entertainment, 버스커버스커
Kakao Entertainment",,
